,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,424,38,265,68,2
Light_T1,3,192,563,32,0
Light_XM,0,98,670,21,0
Sensor,0,142,481,181,0
Socket,0,0,0,0,801
