,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,201,59,15,78,37
Light_T1,0,282,16,67,0
Light_XM,0,322,7,39,0
Sensor,1,33,1,327,0
Socket,0,0,0,1,367
