feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected
rssi_min,0.5962895330420876,True,False,0.07270917840710464,0.03395725348008335,0.6591796362892797,1.0,0.9573786233109769,0.8721860865334188,True
up_len_mean,0.49943327266466575,True,False,0.06012019215931189,0.035468990693197575,0.5521080360849167,0.8268583619896517,1.0,0.7929887993581893,True
rssi_std,0.48390460542195646,True,False,0.05870811290850228,0.02929767883575384,0.5349415747303387,0.8074374404258944,0.8260082472933942,0.7227957541498756,True
rssi_p10,0.4985158873846731,True,False,0.04879764536835709,0.027326717500505145,0.551093895031463,0.6711346000244299,0.7704396704399599,0.664222721831951,True
len_range,0.9045933766989234,True,False,0.022907236596530926,0.009040692052163167,1.0,0.31505288738474574,0.25489002859889776,0.5233143053278811,True
len_min,0.32488172260777404,True,False,0.03678976376046964,0.020083209481027417,0.3591466961579409,0.5059851392417164,0.5662188037642435,0.4771168797213003,True
up_ia_mean,0.5089951933807266,True,False,0.02784083035495029,0.014237362717015527,0.562678443698285,0.38290668337726497,0.40140309714947825,0.4489960747416761,True
up_packet_ratio,0.4935014197328753,True,False,0.0274110523586038,0.014791885501316496,0.5455505561336073,0.37699576530939566,0.41703711360902523,0.4465278116840094,True
len_p10,0.550599841577329,True,False,0.02601534809990476,0.008640880374865474,0.608671095499946,0.3578000559192499,0.24361788159150147,0.4033630110035658,True
len_p95,0.6057831326785008,True,False,0.0202617908438976,0.007720693025950013,0.669674517062183,0.27866895607663417,0.2176744495701347,0.388672640902984,True
burst_count,0.3293243618426085,True,False,0.029516086052480215,0.011988158802892343,0.3640578964267807,0.40594718162289267,0.33798984883974986,0.36933164229647447,True
null_data_ratio,0.4428956505156889,True,False,0.024023293069072506,0.009173779502509659,0.489607443437095,0.330402482813987,0.2586422484322074,0.35955072489442985,True
down_packet_ratio,0.3705168290474541,True,False,0.0246337686292176,0.01097158400930535,0.4095948948902967,0.3387986106965906,0.3093289037798737,0.352574136455587,True
down_ia_std,0.43897677455865747,True,False,0.019243116571129204,0.008752894628076172,0.48527524727252397,0.2646586991175367,0.24677597126424144,0.3322366392181007,True
rssi_max,0.3285237787097901,True,False,0.024605911059074753,0.010355848721411261,0.36317287653448405,0.33841547378384945,0.291969083952461,0.3311858114235982,True
rssi_p90,0.2502585011885641,True,False,0.024762575148500575,0.012124307519956192,0.27665303288182025,0.34057014108800526,0.34182837692873663,0.31968385029952073,True
len_up_down_diff,0.5302064106387627,True,False,0.015327314854243042,0.005121752295418676,0.5861267883406489,0.21080302638580445,0.14440084691783892,0.3137768872147641,True
qos_data_ratio,0.383874160113725,True,False,0.020524512475564895,0.007931352306522813,0.42436101125853165,0.2822822774952355,0.2236137017579113,0.3100856635038928,True
len_p25,0.4433653677743816,True,False,0.01826681976699254,0.006433074280858636,0.49012670133881303,0.2512312773597182,0.18137178857171157,0.3075765890900809,True
len_p75,0.5295065558993088,True,False,0.011521375574296326,0.0042074012543219155,0.5853531205718135,0.1584583380902367,0.11862196166548468,0.28747780677584495,True
len_p50,0.4743866995279111,True,False,0.010769999654066026,0.004069360637686037,0.5244198241413851,0.14812434812237757,0.11473009403863527,0.26242475543413263,True
up_down_ratio,0.5054890442807385,True,False,0.0071297400282388365,0.004478534771322801,0.5588025043090503,0.0980583219950422,0.1262662027815107,0.2610423430285344,True
down_len_std,0.3115296638878311,True,False,0.018424935211962416,0.0065080793843669054,0.3443864082055045,0.2534059057688659,0.1834864555538384,0.26042625650940293,True
rssi_p50,0.3079134577597209,True,False,0.016603036465362098,0.0067033956608661665,0.34038880417560696,0.228348563814053,0.18899313258868058,0.2525768335261135,True
len_cv,0.2411639601412494,True,False,0.01790297494778325,0.006820816464346458,0.2665992990367828,0.2462271660882073,0.19230365260025822,0.23504337257508276,True
down_ia_mean,0.3869115304815929,True,False,0.011652183504665547,0.004052500696424654,0.42771873025814666,0.1602573947325332,0.11425475090278966,0.23407695863115652,True
interarrival_p75,0.3385239075070583,True,False,0.01142255490019701,0.0034505582478621547,0.37422770962839974,0.15709921567592458,0.09728380143965924,0.20953690891466117,True
rssi_mean,0.1634936224882404,True,False,0.01716388461724559,0.007450872530293867,0.18073714300768767,0.23606214501756015,0.21006722730688904,0.2089555051107123,True
other_packet_ratio,0.2255218372541945,True,False,0.01451447397559331,0.005760531601878749,0.24930741597642178,0.19962368291834603,0.16241036153824173,0.20378048681100316,True
len_iqr,0.33350252733832875,True,False,0.010177462982988375,0.003349424666998158,0.36867672915687144,0.1399749413478987,0.09443247753989593,0.20102804934822202,True
interarrival_iqr,0.307209947632455,True,False,0.011364921589539032,0.003351965993461718,0.339611095488602,0.15630656044421112,0.09450412678657291,0.19680726090646203,True
unique_da_count,0.2165524643853045,True,False,0.013098084595332977,0.004960527151863469,0.23939205168133776,0.18014348232620275,0.13985532305588905,0.1864636190211432,True
down_len_p50,0.28901657556521076,True,False,0.010499246524801886,0.0032698855658477434,0.31949888536648485,0.14440056612957095,0.09218998065470352,0.18536314405025311,True
burst_packet_fraction,0.21123168935019576,True,False,0.011590106359973044,0.004764282128708293,0.23351009944493567,0.15940362157689486,0.13432246127099443,0.17574539409760834,True
packet_count,0.17630745532615633,True,False,0.012434419971991939,0.004005010440426069,0.19490243889419598,0.17101582282185343,0.11291582766109469,0.1596113631257147,True
subwin_byte_max,0.2205825676837927,True,False,0.010356364416031211,0.002895291732607583,0.2438472062317668,0.14243544821872528,0.0816288164964011,0.15597049031563107,True
interarrival_p90,0.22180934202411695,True,False,0.009836372236613723,0.003065925398382266,0.24520336732240075,0.13528377643794942,0.0864396008587373,0.1556422482063625,True
interarrival_p50,0.21571759349546316,True,False,0.010261972458667628,0.002688590026004518,0.2384691277341296,0.1411372358137511,0.0758011427294476,0.15180250209244275,True
active_subwin_count,0.09443665958725189,True,False,0.011298073461814708,0.005892110490331579,0.10439680636605339,0.15538716994649382,0.16612004951867995,0.14196800861040906,True
burst_size_std,0.19962079372826214,True,False,0.00944371116780742,0.0024236176720655715,0.2206746134453537,0.12988334313078478,0.06833060723462835,0.1396295212702556,True
burst_size_mean,0.17397159464084355,True,False,0.00968101246056131,0.0029679198825888816,0.1923202171518294,0.13314704790578885,0.08367646850346053,0.1363812445203596,True
retry_ratio,0.0809105051405834,True,False,0.011627284451914991,0.005506396068646469,0.08944406097228469,0.15991494755741667,0.15524535547899065,0.1348681213362307,True
subwin_packet_std,0.16368849496726234,True,False,0.009804634493264991,0.0027430254949118993,0.18095256850608463,0.1348472738664167,0.07733587681247357,0.13104523972832496,True
long_gap_ratio,0.11375155886951438,True,False,0.010688502143984997,0.0033935150739312653,0.12574883013694055,0.14700347848987094,0.09567554665664876,0.12280928509448674,True
