,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,339,36,0,15,0
Light_T1,0,285,7,73,0
Light_XM,0,331,1,36,0
Sensor,1,36,0,325,0
Socket,0,0,0,0,368
