,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,107,2,0,0,0
Light_T1,8,102,0,0,0
Light_XM,0,2,96,11,0
Sensor,0,0,4,105,0
Socket,1,0,0,0,108
