filter_mode,round,label,windows,packet_count_mean,data_ratio,mgmt_ratio,ctrl_ratio,null_data_ratio,qos_data_ratio,retry_ratio
raw_all,R2,Camera,362,48.58839779005525,0.9781287351563724,0.02187126484362751,0.0,0.025742020926632147,0.9523867142297403,0.39947453532265853
raw_all,R2,Light_T1,363,30.980716253443525,0.9954899945673321,0.004510005432667885,0.0,0.015021919094820195,0.9511068142107563,0.2184450541908363
raw_all,R2,Light_XM,365,26.72876712328767,0.9974338789980401,0.002566121001959844,0.0,0.01174728839071001,0.9620403552412882,0.10909744785711352
raw_all,R2,Sensor,363,40.09090909090909,0.9984797031517907,0.0015202968482094048,0.0,0.01965009613113256,0.951361241135994,0.3597540493829072
raw_all,R2,Socket,363,59.421487603305785,1.0,0.0,0.0,0.40284591177625195,0.596422612085243,0.1538247263679319
raw_all,R3,Camera,365,51.58904109589041,0.999770848017169,0.00022915198283110383,0.0,0.003140101195932404,0.9966307468212364,0.14568541031562754
raw_all,R3,Light_T1,363,30.55922865013774,0.9977646779299671,0.0022353220700328134,0.0,0.01581850279677774,0.9586474083533745,0.20719990020796164
raw_all,R3,Light_XM,369,50.046070460704605,0.9994672626379943,0.0005327373620056542,0.0,0.012468104695187547,0.9678292479542608,0.42148382003917195
raw_all,R3,Sensor,364,37.917582417582416,0.9991792761745266,0.0008207238254733124,0.0,0.0341302469707161,0.9470622927824486,0.3714162039782524
raw_all,R3,Socket,376,94.7313829787234,1.0,0.0,0.0,0.24971276269972148,0.7495840703127449,0.3089083436385443
raw_all,R4,Camera,390,34.65128205128205,0.9946189312866852,0.0053810687133147165,0.0,0.010436944619323686,0.9841819866673617,0.144777440572913
raw_all,R4,Light_T1,365,44.98082191780822,0.9991827591724206,0.0008172408275794161,0.0,0.015088084708778985,0.9598884270672386,0.3446479624672203
raw_all,R4,Light_XM,368,38.69836956521739,0.9989855072463768,0.0010144927536231882,0.0,0.0085416642859597,0.9697837212372759,0.22842930291286975
raw_all,R4,Sensor,362,37.08839779005525,0.989954131998761,0.010045868001238915,0.0,0.031948599231322636,0.9223624615109824,0.36445563350493754
raw_all,R4,Socket,368,69.96739130434783,1.0,0.0,0.0,0.37523058555935973,0.6240094230646157,0.3264004493675065
raw_all,R5,Camera,363,21.804407713498623,0.9993484333092817,0.0006515666907182945,0.0,0.014049523026856825,0.985298910282425,0.16391735849304911
raw_all,R5,Light_T1,365,21.265753424657536,1.0,0.0,0.0,0.052108382027398495,0.9158207216792714,0.1658976912818173
raw_all,R5,Light_XM,363,29.426997245179063,0.9969343791627606,0.0030656208372394625,0.0,0.009409775105806777,0.9601219427307559,0.18868461844996304
raw_all,R5,Sensor,362,22.950276243093924,0.9891756132652415,0.010824386734758495,0.0,0.040232682963748864,0.9103887580154625,0.22082383373002984
raw_all,R5,Socket,363,44.735537190082646,1.0,0.0,0.0,0.5503025614400768,0.44842213968515937,0.17219486685694918
raw_all,R6,Camera,399,74.86967418546367,0.9988184250993803,0.0011815749006196083,0.0,0.022190426472196934,0.9766279986271834,0.46997341550620814
raw_all,R6,Light_T1,394,26.794416243654823,0.992394215644331,0.00760578435566921,0.0,0.031076632996993498,0.9374741184145338,0.21537008673112804
raw_all,R6,Light_XM,395,26.939240506329114,0.9989852449427785,0.0010147550572213696,0.0,0.021324266351449562,0.9536420143901171,0.2038693653230677
raw_all,R6,Sensor,405,23.074074074074073,0.9940671263657159,0.005932873634284024,0.0,0.04960268431598565,0.9135978362305813,0.2571652779846641
raw_all,R6,Socket,395,56.80253164556962,1.0,0.0,0.0,0.4201776765481005,0.57896630863548,0.1773965354067286
raw_all,R7,Camera,398,34.04271356783919,0.99866553044945,0.0013344695505499522,0.0,0.012798669892757478,0.9858668605566927,0.17241508988234142
raw_all,R7,Light_T1,396,23.914141414141415,0.9941455387674287,0.0058544612325713,0.0,0.028446431900743797,0.9292880806404934,0.12905519607808486
raw_all,R7,Light_XM,394,23.951776649746193,0.9983640434483306,0.0016359565516694413,0.0,0.011678181278549069,0.9589863766178067,0.09362129951952536
raw_all,R7,Sensor,399,24.69924812030075,0.9964554101045376,0.003544589895462326,0.0,0.04845215782581746,0.9074981015698257,0.2534076210891021
raw_all,R7,Socket,406,56.98522167487685,1.0,0.0,0.0,0.4227639848303561,0.5758255655199839,0.18370168495854633
