unit,arm,pool,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
jit_R6,flat_183,183,42,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,43,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,44,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,45,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,46,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_94,94,42,xgboost,0.7783647964241942,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0,1.0,66,0
jit_R6,flat_94,94,43,xgboost,0.7769578127010457,0.9064935064935065,0.6169665809768637,0.6557734204793029,0.7055555555555556,1.0,1.0,66,0
jit_R6,flat_94,94,44,xgboost,0.7774190074750142,0.8952879581151832,0.6278481012658228,0.6487093153759821,0.7152496626180836,1.0,1.0,66,0
jit_R6,flat_94,94,45,xgboost,0.7812458699608165,0.9033942558746736,0.6306306306306306,0.6502793296089385,0.7219251336898396,1.0,1.0,66,0
jit_R6,flat_94,94,46,xgboost,0.7793861555088145,0.9031413612565445,0.6177215189873417,0.6546681664791901,0.721399730820996,1.0,1.0,66,0
jit_R6,flat_drop_rssi_175,175,42,xgboost,0.8064609522093672,0.8164464023494861,0.6885617214043035,0.7496382054992764,0.7776584317937701,1.0,1.0,66,0
jit_R6,flat_drop_rssi_175,175,43,lightgbm,0.8059479805926966,0.8233576642335766,0.6802721088435374,0.7445255474452555,0.7815845824411135,1.0,1.0,66,0
jit_R6,flat_drop_rssi_175,175,44,xgboost,0.8087579777359917,0.8284883720930233,0.6886363636363636,0.7437774524158126,0.7828877005347593,1.0,1.0,66,0
jit_R6,flat_drop_rssi_175,175,45,xgboost,0.8103684567661557,0.8279883381924198,0.6916951080773607,0.749271137026239,0.7828877005347593,1.0,1.0,66,0
jit_R6,flat_drop_rssi_175,175,46,lightgbm,0.8059479805926966,0.8233576642335766,0.6802721088435374,0.7445255474452555,0.7815845824411135,1.0,1.0,66,0
jit_R6,flat_drop_rssi_86,86,42,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_drop_rssi_86,86,43,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_drop_rssi_86,86,44,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_drop_rssi_86,86,45,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_drop_rssi_86,86,46,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,override_183,183,42,lightgbm,0.8244921265228424,0.9457755359394704,0.7046263345195729,0.6965986394557823,0.7754601226993865,1.0,1.0,66,887
jit_R6,override_183,183,43,lightgbm,0.8244921265228424,0.9457755359394704,0.7046263345195729,0.6965986394557823,0.7754601226993865,1.0,1.0,66,887
jit_R6,override_183,183,44,lightgbm,0.8244921265228424,0.9457755359394704,0.7046263345195729,0.6965986394557823,0.7754601226993865,1.0,1.0,66,887
jit_R6,override_183,183,45,lightgbm,0.8244921265228424,0.9457755359394704,0.7046263345195729,0.6965986394557823,0.7754601226993865,1.0,1.0,66,887
jit_R6,override_183,183,46,lightgbm,0.8244921265228424,0.9457755359394704,0.7046263345195729,0.6965986394557823,0.7754601226993865,1.0,1.0,66,887
jit_R6,override_94,94,42,xgboost,0.7924595177575355,0.9024707412223667,0.6762589928057554,0.634207240948814,0.7493606138107417,1.0,0.9848484848484849,66,905
jit_R6,override_94,94,43,xgboost,0.7876240308018703,0.9064935064935065,0.6658767772511849,0.6317073170731707,0.7340425531914894,1.0,1.0,66,913
jit_R6,override_94,94,44,xgboost,0.7868309610979843,0.8952879581151832,0.6682634730538922,0.6270136307311028,0.7435897435897436,1.0,0.9848484848484849,66,911
jit_R6,override_94,94,45,xgboost,0.7916440782109664,0.9033942558746736,0.6738868832731648,0.6401985111662531,0.7407407407407407,1.0,1.0,66,902
jit_R6,override_94,94,46,xgboost,0.7874060316379533,0.9031413612565445,0.6587112171837709,0.6242197253433208,0.7509578544061303,1.0,0.9848484848484849,66,915
jit_R7,flat_183,183,42,xgboost,0.870627876600279,0.9652509652509652,0.7913669064748201,0.8121059268600253,0.7844155844155845,1.0,1.0,66,0
jit_R7,flat_183,183,43,xgboost,0.8705446498173501,0.9692307692307692,0.787515006002401,0.8141592920353983,0.7818181818181819,1.0,1.0,66,0
jit_R7,flat_183,183,44,lightgbm,0.8685517991290161,0.970550576184379,0.7754601226993865,0.8029739776951673,0.7937743190661478,1.0,1.0,66,0
jit_R7,flat_183,183,45,lightgbm,0.8685517991290161,0.970550576184379,0.7754601226993865,0.8029739776951673,0.7937743190661478,1.0,1.0,66,0
jit_R7,flat_183,183,46,lightgbm,0.8685517991290161,0.970550576184379,0.7754601226993865,0.8029739776951673,0.7937743190661478,1.0,1.0,66,0
jit_R7,flat_94,94,42,rf,0.8219721259799911,0.94750656167979,0.6873508353221957,0.7157894736842105,0.7592137592137592,1.0,1.0,66,0
jit_R7,flat_94,94,43,rf,0.8236975201013944,0.940554821664465,0.687793427230047,0.7165775401069518,0.773561811505508,1.0,1.0,66,0
jit_R7,flat_94,94,44,rf,0.8232986071974431,0.9361702127659575,0.6949352179034158,0.7211796246648794,0.7642079806529625,1.0,1.0,66,0
jit_R7,flat_94,94,45,rf,0.8258894059214619,0.9389920424403183,0.6972255729794934,0.7195767195767195,0.7736526946107785,1.0,1.0,66,0
jit_R7,flat_94,94,46,rf,0.8224775367311377,0.9379128137384413,0.6890756302521008,0.7174770039421814,0.7679222357229648,1.0,1.0,66,0
jit_R7,flat_drop_rssi_175,175,42,xgboost,0.8758880223663166,0.9218543046357616,0.8088779284833539,0.8375838926174497,0.8111239860950173,1.0,1.0,66,0
jit_R7,flat_drop_rssi_175,175,43,lightgbm,0.8751981264257249,0.9220607661822986,0.801980198019802,0.8335588633288228,0.8183908045977012,1.0,1.0,66,0
jit_R7,flat_drop_rssi_175,175,44,lightgbm,0.8751981264257249,0.9220607661822986,0.801980198019802,0.8335588633288228,0.8183908045977012,1.0,1.0,66,0
jit_R7,flat_drop_rssi_175,175,45,lightgbm,0.8751981264257249,0.9220607661822986,0.801980198019802,0.8335588633288228,0.8183908045977012,1.0,1.0,66,0
jit_R7,flat_drop_rssi_175,175,46,lightgbm,0.8751981264257249,0.9220607661822986,0.801980198019802,0.8335588633288228,0.8183908045977012,1.0,1.0,66,0
jit_R7,flat_drop_rssi_86,86,42,xgboost,0.8360572426086055,0.8766756032171582,0.7243510506798516,0.7755644090305445,0.8036951501154734,1.0,1.0,66,0
jit_R7,flat_drop_rssi_86,86,43,xgboost,0.8361471451792145,0.8674698795180723,0.7270501835985312,0.7829560585885486,0.8032596041909197,1.0,1.0,66,0
jit_R7,flat_drop_rssi_86,86,44,lightgbm,0.8358327659297284,0.870026525198939,0.7326732673267327,0.776,0.8004640371229699,1.0,1.0,66,0
jit_R7,flat_drop_rssi_86,86,45,lightgbm,0.8358327659297284,0.870026525198939,0.7326732673267327,0.776,0.8004640371229699,1.0,1.0,66,0
jit_R7,flat_drop_rssi_86,86,46,lightgbm,0.8358327659297284,0.870026525198939,0.7326732673267327,0.776,0.8004640371229699,1.0,1.0,66,0
jit_R7,override_183,183,42,lightgbm,0.8775072104829615,0.970550576184379,0.7959949937421777,0.8060836501901141,0.8149068322981367,1.0,1.0,66,948
jit_R7,override_183,183,43,xgboost,0.8812005562221998,0.9692307692307692,0.8019680196801968,0.8268733850129198,0.8079306071871127,1.0,1.0,66,992
jit_R7,override_183,183,44,xgboost,0.8776673227146103,0.9653401797175867,0.7980416156670747,0.8199233716475096,0.8050314465408805,1.0,1.0,66,998
jit_R7,override_183,183,45,xgboost,0.8782631215873197,0.9625806451612903,0.8039457459926017,0.818297331639136,0.8064918851435705,1.0,1.0,66,994
jit_R7,override_183,183,46,xgboost,0.8781883872144671,0.9679075738125802,0.7995049504950495,0.8235294117647058,0.8,1.0,1.0,66,990
jit_R7,override_94,94,42,xgboost,0.8486102663896183,0.9609375,0.7580025608194623,0.7544910179640718,0.769620253164557,1.0,1.0,66,990
jit_R7,override_94,94,43,xgboost,0.8441061842249479,0.9596879063719116,0.7512820512820513,0.7470449172576832,0.7625160462130937,1.0,1.0,66,996
jit_R7,override_94,94,44,xgboost,0.8501841526158318,0.9595827900912647,0.7593307593307593,0.7526881720430108,0.7793190416141236,1.0,1.0,66,997
jit_R7,override_94,94,45,xgboost,0.8491294377373066,0.9622886866059818,0.7589743589743589,0.7497005988023953,0.7746835443037975,1.0,1.0,66,997
jit_R7,override_94,94,46,xgboost,0.851593140585179,0.9609375,0.7561290322580645,0.7586206896551724,0.7822784810126582,1.0,1.0,66,987
pos_R5,flat_183,183,42,rf,0.7275945325969612,0.9096296296296297,0.33495934959349594,0.7609254498714653,0.6324582338902148,1.0,0.8833333333333333,60,0
pos_R5,flat_183,183,43,rf,0.7308272853932613,0.9063893016344725,0.3432343234323432,0.7569620253164557,0.6475507765830346,1.0,0.8666666666666667,60,0
pos_R5,flat_183,183,44,rf,0.7273811333488643,0.9080118694362018,0.3366013071895425,0.7449494949494949,0.6473429951690821,1.0,0.85,60,0
pos_R5,flat_183,183,45,rf,0.7245141619559081,0.8902255639097745,0.346031746031746,0.7477592829705506,0.6385542168674698,1.0,0.8833333333333333,60,0
pos_R5,flat_183,183,46,rf,0.7277603109228009,0.912850812407681,0.33494363929146537,0.7493606138107417,0.6416464891041163,1.0,0.8833333333333333,60,0
pos_R5,flat_94,94,42,rf,0.7012224296594887,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0,0.8166666666666667,60,0
pos_R5,flat_94,94,43,rf,0.696014444295626,0.8849557522123894,0.26981450252951095,0.6825396825396826,0.6427622841965471,1.0,0.8,60,0
pos_R5,flat_94,94,44,rf,0.6914411164347813,0.8545454545454545,0.28052805280528054,0.677309007981756,0.6448230668414154,1.0,0.8,60,0
pos_R5,flat_94,94,45,rf,0.6935335986677011,0.8597285067873304,0.28760330578512394,0.6842105263157895,0.6361256544502618,1.0,0.8,60,0
pos_R5,flat_94,94,46,rf,0.6977284530738025,0.8703427719821163,0.2871452420701169,0.6884875846501128,0.6426666666666667,1.0,0.8,60,0
pos_R5,flat_drop_rssi_175,175,42,lightgbm,0.7941595067585038,0.7797716150081566,0.6089466089466089,0.8695652173913043,0.7125140924464487,1.0,0.95,60,0
pos_R5,flat_drop_rssi_175,175,43,lightgbm,0.7941595067585038,0.7797716150081566,0.6089466089466089,0.8695652173913043,0.7125140924464487,1.0,0.95,60,0
pos_R5,flat_drop_rssi_175,175,44,lightgbm,0.7941595067585038,0.7797716150081566,0.6089466089466089,0.8695652173913043,0.7125140924464487,1.0,0.95,60,0
