unit,arm,pool,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
jit_R6,flat_183,183,42,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,42,rf,0.7667369907977454,0.9037433155080213,0.6158798283261803,0.59,0.7240618101545254,1.0,0.8939393939393939,66,0
jit_R6,flat_183,183,42,xgboost,0.8138641469197765,0.9373433583959899,0.6869671132764921,0.6988564167725541,0.7461538461538462,1.0,1.0,66,0
jit_R6,flat_183,183,43,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,43,rf,0.7640456015255145,0.8921832884097035,0.6131078224101479,0.5933333333333334,0.7216035634743875,1.0,0.8939393939393939,66,0
jit_R6,flat_183,183,43,xgboost,0.8131427037463739,0.9385194479297365,0.6824085005903188,0.7048114434330299,0.7399741267787839,1.0,1.0,66,0
jit_R6,flat_183,183,44,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,44,rf,0.7638870345852043,0.8906666666666667,0.6195069667738478,0.5896147403685092,0.7196467991169978,1.0,0.9242424242424242,66,0
jit_R6,flat_183,183,44,xgboost,0.8095444491143834,0.9335006273525721,0.6779252110977081,0.7061790668348046,0.7301173402868318,1.0,1.0,66,0
jit_R6,flat_183,183,45,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,45,rf,0.7593118010238695,0.8858695652173914,0.613588110403397,0.5776293823038398,0.7194719471947195,1.0,0.9090909090909091,66,0
jit_R6,flat_183,183,45,xgboost,0.8138666150536931,0.9358490566037736,0.6808510638297872,0.7036082474226805,0.7490247074122237,1.0,1.0,66,0
jit_R6,flat_183,183,46,lightgbm,0.8231766502393061,0.9457755359394704,0.6970443349753694,0.7125,0.7605633802816901,1.0,1.0,66,0
jit_R6,flat_183,183,46,rf,0.7687029232658522,0.8957219251336899,0.6221248630887185,0.6113821138211382,0.7142857142857143,1.0,0.9242424242424242,66,0
jit_R6,flat_183,183,46,xgboost,0.8105548452622072,0.9373433583959899,0.6793349168646081,0.7052767052767053,0.7308192457737321,1.0,1.0,66,0
jit_R6,flat_94,94,42,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.9696969696969697,66,0
jit_R6,flat_94,94,42,rf,0.7488747806643499,0.8159771754636234,0.617169373549884,0.6191780821917808,0.6920492721164614,1.0,0.9696969696969697,66,0
jit_R6,flat_94,94,42,xgboost,0.7783647964241942,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0,1.0,66,0
jit_R6,flat_94,94,43,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.9696969696969697,66,0
jit_R6,flat_94,94,43,rf,0.7536787218386124,0.8394366197183099,0.6062717770034843,0.6149584487534626,0.7077267637178052,1.0,0.9545454545454546,66,0
jit_R6,flat_94,94,43,xgboost,0.7769578127010457,0.9064935064935065,0.6169665809768637,0.6557734204793029,0.7055555555555556,1.0,1.0,66,0
jit_R6,flat_94,94,44,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.9696969696969697,66,0
jit_R6,flat_94,94,44,rf,0.7388432947600209,0.8,0.6,0.6106442577030813,0.6835722160970231,1.0,0.9545454545454546,66,0
jit_R6,flat_94,94,44,xgboost,0.7774190074750142,0.8952879581151832,0.6278481012658228,0.6487093153759821,0.7152496626180836,1.0,1.0,66,0
jit_R6,flat_94,94,45,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.9696969696969697,66,0
jit_R6,flat_94,94,45,rf,0.7442315034210465,0.7994186046511628,0.611764705882353,0.6224066390041494,0.6875675675675675,1.0,0.9545454545454546,66,0
jit_R6,flat_94,94,45,xgboost,0.7812458699608165,0.9033942558746736,0.6306306306306306,0.6502793296089385,0.7219251336898396,1.0,1.0,66,0
