,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,117,0,0,0,0
Light_T1,1,103,3,3,0
Light_XM,1,9,96,4,0
Sensor,2,14,8,84,1
Socket,0,0,0,0,110
