,precision,recall,f1-score,support
Camera,0.9869109947643979,0.9666666666666667,0.9766839378238342,390.0
Light_T1,0.8791946308724832,0.3589041095890411,0.5097276264591439,365.0
Light_XM,0.8115942028985508,0.6086956521739131,0.6956521739130435,368.0
Sensor,0.5265486725663717,0.9861878453038674,0.6865384615384615,362.0
Socket,1.0,1.0,1.0,368.0
accuracy,0.7862924986508365,0.7862924986508365,0.7862924986508365,0.7862924986508365
macro avg,0.8408497002203607,0.7840908547466976,0.7737204399468967,1853.0
weighted avg,0.843539457292102,0.7862924986508365,0.7768398502351894,1853.0
