family,d_auc_sum,n_cols,self_collected_ref
subwin,-0.7831426508840078,9,
singletons,-1.189615400085091,6,0.0182
down,-3.2794681262265004,6,
interarrival,-3.523862505864303,12,0.0045
up,-3.728931073394142,7,
burst,-4.118879236239685,7,
len,-11.815307889343739,14,-0.161
