,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,373,6,1,18,0
Light_T1,1,287,86,22,0
Light_XM,0,61,311,22,0
Sensor,0,66,76,257,0
Socket,0,0,0,0,406
