,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,641,15,31,108,2
Light_T1,4,318,421,46,1
Light_XM,1,149,612,27,0
Sensor,5,135,380,283,1
Socket,0,0,0,0,801
