,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,298,2,41,22,0
Light_T1,16,31,165,153,0
Light_XM,1,34,319,9,0
Sensor,3,127,18,214,0
Socket,0,0,0,0,363
