,precision,recall,f1-score,support
Camera,0.959375,0.8457300275482094,0.8989751098096632,363.0
Light_T1,0.024896265560165973,0.01643835616438356,0.019801980198019802,365.0
Light_XM,0.41397849462365593,0.6363636363636364,0.501628664495114,363.0
Sensor,0.6497005988023952,0.5994475138121547,0.6235632183908046,362.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.6189427312775331,0.6189427312775331,0.6189427312775331,0.6189427312775331
macro avg,0.6095900717972433,0.6195959067776767,0.6087937945787203,1816.0
weighted avg,0.6089240485926843,0.6189427312775331,0.6081369922369948,1816.0
