,precision,recall,f1-score,support
Camera,0.9919137466307277,0.9246231155778895,0.9570871261378413,398.0
Light_T1,0.9,0.022727272727272728,0.04433497536945813,396.0
Light_XM,0.1,0.0025380710659898475,0.0049504950495049506,394.0
Sensor,0.3302675585284281,0.9899749373433584,0.4952978056426332,399.0
Socket,1.0,1.0,1.0,406.0
accuracy,0.5915704967385851,0.5915704967385851,0.5915704967385851,0.5915704967385851
macro avg,0.6644362610318312,0.5879726793429021,0.5003340804398875,1993.0
weighted avg,0.6665120055252748,0.5915704967385851,0.503789084771742,1993.0
