,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,142,0,194,27,0
Light_T1,0,0,310,55,0
Light_XM,0,298,63,2,0
Sensor,5,286,14,57,0
Socket,0,0,3,0,360
