,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,658,14,23,102,0
Light_T1,7,509,138,136,0
Light_XM,6,279,400,104,0
Sensor,3,109,72,620,0
Socket,0,0,0,0,801
