filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,source,scenario,parameter_count,iid_mean_macro_f1,ood_drop
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,cnn1d_v4,94,0.9402173913043478,0.9404806687565308,0.9399126900044332,0.9400325782190752,"{'Camera': 0.9908256880733946, 'Light_T1': 0.9954337899543378, 'Light_XM': 0.8634361233480177, 'Sensor': 0.8504672897196262, 'Socket': 1.0}","[[108, 0, 0, 2, 0], [0, 109, 0, 0, 0], [0, 1, 98, 12, 0], [0, 0, 18, 91, 0], [0, 0, 0, 0, 113]]",strict_split_trained,IID,2206080.0,0.917711213128332,0.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,rf,94,0.9442446043165468,0.9437500195031856,0.9435116158051936,0.9434355165688956,"{'Camera': 0.9872340425531915, 'Light_T1': 0.9147982062780269, 'Light_XM': 0.918918918918919, 'Sensor': 0.8962264150943396, 'Socket': 1.0}","[[116, 0, 0, 1, 0], [1, 102, 3, 4, 0], [1, 4, 102, 3, 0], [0, 7, 7, 95, 0], [0, 0, 0, 0, 110]]",preserved_baseline,IID,,0.9537395585182563,0.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,cnn1d_v2,94,0.75,0.7546741119619058,0.7475758288602325,0.7476487042369395,"{'Camera': 0.9437229437229437, 'Light_T1': 0.57, 'Light_XM': 0.638095238095238, 'Sensor': 0.6, 'Socket': 0.9864253393665159}","[[109, 1, 4, 1, 2], [1, 57, 16, 36, 0], [1, 14, 67, 28, 0], [3, 18, 13, 75, 0], [0, 0, 0, 1, 109]]",preserved_baseline,IID,260049.0,0.7800627437792659,0.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,cnn1d_v3,94,0.9226618705035972,0.922960007599506,0.921584653878232,0.9215963952529826,"{'Camera': 0.9831932773109243, 'Light_T1': 0.8672566371681416, 'Light_XM': 0.8899521531100478, 'Sensor': 0.867579908675799, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [1, 98, 3, 8, 0], [1, 9, 93, 7, 0], [2, 9, 3, 95, 0], [0, 0, 0, 0, 110]]",preserved_baseline,IID,1012154.0,0.9310126140102173,0.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,transformer,94,0.8992805755395683,0.9050193373901284,0.8980237092163698,0.8978296905536336,"{'Camera': 0.9789029535864979, 'Light_T1': 0.8425531914893617, 'Light_XM': 0.841025641025641, 'Sensor': 0.8266666666666667, 'Socket': 1.0}","[[116, 1, 0, 0, 0], [0, 99, 2, 9, 0], [0, 14, 82, 14, 0], [4, 11, 1, 93, 0], [0, 0, 0, 0, 110]]",preserved_baseline,IID,73541.0,0.89929994532895,0.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,transformer_v2,94,0.9280575539568344,0.9278887220566768,0.9270391993327772,0.926735957420678,"{'Camera': 0.9915254237288136, 'Light_T1': 0.8947368421052632, 'Light_XM': 0.8803827751196173, 'Sensor': 0.8715596330275229, 'Socket': 0.995475113122172}","[[117, 0, 0, 0, 0], [0, 102, 3, 5, 0], [1, 8, 92, 9, 0], [1, 8, 4, 95, 1], [0, 0, 0, 0, 110]]",preserved_baseline,IID,605634.0,0.9291691865874535,0.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,cnn1d_v4,94,0.9172661870503596,0.919133328394161,0.9159466221851544,0.915268474618682,"{'Camera': 0.9831932773109243, 'Light_T1': 0.8728813559322034, 'Light_XM': 0.8847926267281107, 'Sensor': 0.84, 'Socket': 0.995475113122172}","[[117, 0, 0, 0, 0], [1, 103, 3, 3, 0], [1, 9, 96, 4, 0], [2, 14, 8, 84, 1], [0, 0, 0, 0, 110]]",strict_split_trained,IID,2206080.0,0.917711213128332,0.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,rf,94,0.7069616837560713,0.7276857144134101,0.7057514906057267,0.6592117370350504,"{'Camera': 0.9228650137741047, 'Light_T1': 0.5403899721448467, 'Light_XM': 0.046632124352331605, 'Sensor': 0.7861715749039693, 'Socket': 1.0}","[[335, 37, 0, 18, 0], [0, 291, 9, 65, 0], [0, 330, 9, 29, 0], [1, 54, 0, 307, 0], [0, 0, 0, 0, 368]]",preserved_baseline,OOD_LORO,,0.9537395585182563,0.2945278214832059
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_v2,94,0.5439827307069617,0.5856472997565196,0.5462245104459047,0.5352399857235242,"{'Camera': 0.5571428571428572, 'Light_T1': 0.41297935103244837, 'Light_XM': 0.10671256454388985, 'Sensor': 0.6102941176470589, 'Socket': 0.9890710382513661}","[[156, 86, 107, 39, 2], [5, 210, 58, 92, 0], [1, 264, 31, 72, 0], [4, 92, 17, 249, 0], [4, 0, 0, 2, 362]]",preserved_baseline,OOD_LORO,260049.0,0.7800627437792659,0.24482275805574172
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_v3,94,0.7204533189422558,0.7327638320357861,0.7184863170633361,0.6743508688941646,"{'Camera': 0.9574468085106383, 'Light_T1': 0.5610687022900763, 'Light_XM': 0.08478802992518704, 'Sensor': 0.7738562091503268, 'Socket': 0.9945945945945946}","[[360, 19, 0, 10, 1], [1, 294, 15, 53, 2], [0, 307, 17, 44, 0], [1, 63, 1, 296, 1], [0, 0, 0, 0, 368]]",preserved_baseline,OOD_LORO,1012154.0,0.9310126140102173,0.25666174511605266
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,transformer,94,0.638963842417701,0.6253593629629873,0.6415213240127604,0.588817406037988,"{'Camera': 0.6790540540540541, 'Light_T1': 0.5315739868049011, 'Light_XM': 0.0343980343980344, 'Sensor': 0.7482837528604119, 'Socket': 0.9507772020725389}","[[201, 59, 15, 78, 37], [0, 282, 16, 67, 0], [0, 322, 7, 39, 0], [1, 33, 1, 327, 0], [0, 0, 0, 1, 367]]",preserved_baseline,OOD_LORO,73541.0,0.89929994532895,0.3104825392909619
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,transformer_v2,94,0.7258499730167296,0.6645351885378737,0.7237938477535679,0.6655077631156436,"{'Camera': 0.9723320158102767, 'Light_T1': 0.5750736015701668, 'Light_XM': 0.010554089709762533, 'Sensor': 0.770935960591133, 'Socket': 0.9986431478968792}","[[369, 10, 0, 11, 0], [0, 293, 9, 63, 0], [0, 303, 2, 63, 0], [0, 48, 0, 313, 1], [0, 0, 0, 0, 368]]",preserved_baseline,OOD_LORO,605634.0,0.9291691865874535,0.2636614234718099
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_v4,94,0.7134376686454398,0.6368240691017707,0.711448123452959,0.6569687429858777,"{'Camera': 0.9549071618037135, 'Light_T1': 0.5605338417540515, 'Light_XM': 0.0051813471502590676, 'Sensor': 0.7696267696267697, 'Socket': 0.9945945945945946}","[[360, 16, 0, 13, 1], [3, 294, 17, 50, 1], [0, 314, 1, 53, 0], [1, 60, 0, 299, 2], [0, 0, 0, 0, 368]]",strict_split_trained,OOD_LORO,2206080.0,0.917711213128332,0.26074247014245433
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,rf,94,0.6336418072945019,0.6225074706021854,0.6305451136456817,0.6148161314237031,"{'Camera': 0.9679144385026738, 'Light_T1': 0.22564102564102564, 'Light_XM': 0.6242774566473989, 'Sensor': 0.25757575757575757, 'Socket': 0.99867197875166}","[[362, 2, 1, 0, 0], [1, 88, 179, 95, 0], [3, 95, 270, 1, 0], [17, 232, 46, 68, 1], [0, 0, 0, 0, 376]]",preserved_baseline,OOD_LORO,,0.9537395585182563,0.33892342709455325
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_v2,94,0.4104518236254763,0.4740207924609844,0.4104650643237196,0.359472690781759,"{'Camera': 0.6641883519206939, 'Light_T1': 0.21303656597774245, 'Light_XM': 0.5738684884713919, 'Sensor': 0.07898894154818326, 'Socket': 0.2672811059907834}","[[268, 11, 84, 2, 0], [0, 67, 176, 120, 0], [3, 29, 336, 1, 0], [10, 141, 188, 25, 0], [161, 18, 18, 121, 58]]",preserved_baseline,OOD_LORO,260049.0,0.7800627437792659,0.4205900529975069
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_v3,94,0.5677735438214481,0.4605992439890368,0.5638080375737455,0.4948910187629904,"{'Camera': 0.8676470588235294, 'Light_T1': 0.04371584699453552, 'Light_XM': 0.5541284403669725, 'Sensor': 0.016985138004246284, 'Socket': 0.9919786096256684}","[[354, 1, 10, 0, 0], [1, 12, 247, 103, 0], [38, 29, 302, 0, 0], [53, 144, 162, 4, 1], [5, 0, 0, 0, 371]]",preserved_baseline,OOD_LORO,1012154.0,0.9310126140102173,0.4361215952472269
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,transformer,94,0.5862819814915623,0.5142200378013262,0.5823597966491991,0.5307998041101041,"{'Camera': 0.9329829172141918, 'Light_T1': 0.017825311942959002, 'Light_XM': 0.570363466915191, 'Sensor': 0.13282732447817835, 'Socket': 1.0}","[[355, 4, 6, 0, 0], [1, 5, 231, 126, 0], [15, 46, 306, 2, 0], [25, 143, 161, 35, 0], [0, 0, 0, 0, 376]]",preserved_baseline,OOD_LORO,73541.0,0.89929994532895,0.3685001412188459
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,transformer_v2,94,0.5661404463799673,0.4602605169314113,0.5622242570968095,0.4958964202931177,"{'Camera': 0.8725961538461539, 'Light_T1': 0.04421768707482993, 'Light_XM': 0.5492822966507177, 'Sensor': 0.017391304347826087, 'Socket': 0.9959946595460614}","[[363, 1, 1, 0, 0], [1, 13, 257, 92, 0], [24, 58, 287, 0, 0], [77, 152, 131, 4, 0], [2, 1, 0, 0, 373]]",preserved_baseline,OOD_LORO,605634.0,0.9291691865874535,0.4332727662943358
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_v4,94,0.542732716385411,0.4283574820762131,0.5388041944522216,0.4665168006700019,"{'Camera': 0.7938257993384785, 'Light_T1': 0.014598540145985401, 'Light_XM': 0.498015873015873, 'Sensor': 0.026143790849673203, 'Socket': 1.0}","[[360, 2, 3, 0, 0], [1, 4, 269, 89, 0], [93, 25, 251, 0, 0], [88, 154, 116, 6, 0], [0, 0, 0, 0, 376]]",strict_split_trained,OOD_LORO,2206080.0,0.917711213128332,0.45119441245833014
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,rf,94,0.8083700440528634,0.814255723120555,0.8084345974485851,0.8097991283932819,"{'Camera': 0.9464544138929089, 'Light_T1': 0.6501457725947521, 'Light_XM': 0.7657894736842106, 'Sensor': 0.6866059817945384, 'Socket': 1.0}","[[327, 0, 10, 25, 0], [1, 223, 79, 60, 0], [1, 16, 291, 57, 0], [0, 84, 15, 264, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_LORO,,0.9537395585182563,0.14394043012497437
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_v2,94,0.5842511013215859,0.6165357883409137,0.5839605038780782,0.5699561970103112,"{'Camera': 0.5697896749521989, 'Light_T1': 0.2337228714524207, 'Light_XM': 0.5731958762886598, 'Sensor': 0.5127551020408163, 'Socket': 0.9603174603174603}","[[149, 43, 84, 56, 30], [4, 70, 179, 110, 0], [4, 29, 278, 54, 0], [4, 94, 64, 201, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_LORO,260049.0,0.7800627437792659,0.21010654676895468
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_v3,94,0.6745594713656388,0.7163493304905196,0.6745593527036046,0.6773361107428025,"{'Camera': 0.7202797202797203, 'Light_T1': 0.48297213622291024, 'Light_XM': 0.5880829015544041, 'Sensor': 0.5967213114754099, 'Socket': 0.9986244841815681}","[[206, 0, 75, 80, 1], [2, 156, 79, 126, 0], [2, 63, 227, 73, 0], [0, 64, 26, 273, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_LORO,1012154.0,0.9310126140102173,0.25367650326741475
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,transformer,94,0.7296255506607929,0.7535507937161467,0.7298456462132732,0.7347986583280701,"{'Camera': 0.9039039039039038, 'Light_T1': 0.5310245310245311, 'Light_XM': 0.6395173453996983, 'Sensor': 0.5995475113122172, 'Socket': 1.0}","[[301, 0, 16, 45, 0], [2, 184, 57, 120, 0], [1, 61, 212, 91, 0], [0, 85, 13, 265, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_LORO,73541.0,0.89929994532895,0.16450128700087985
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,transformer_v2,94,0.7053964757709251,0.7260582621264228,0.7054638984604652,0.7076757821265568,"{'Camera': 0.8412698412698413, 'Light_T1': 0.4714946070878274, 'Light_XM': 0.6169665809768637, 'Sensor': 0.6168446026097272, 'Socket': 0.9918032786885246}","[[265, 0, 41, 50, 6], [1, 153, 108, 101, 0], [1, 55, 240, 69, 0], [1, 78, 24, 260, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_LORO,605634.0,0.9291691865874535,0.22149340446089671
raw_all,loro_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_v4,94,0.7009911894273128,0.7371450671198486,0.7008791617071342,0.6979657590507445,"{'Camera': 0.7759197324414716, 'Light_T1': 0.418848167539267, 'Light_XM': 0.5980911983032874, 'Sensor': 0.696969696969697, 'Socket': 1.0}","[[232, 0, 90, 40, 0], [1, 120, 174, 68, 0], [3, 35, 282, 45, 0], [0, 55, 32, 276, 0], [0, 0, 0, 0, 363]]",strict_split_trained,OOD_LORO,2206080.0,0.917711213128332,0.2197454540775875
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,rf,94,0.711453744493392,0.7064556600220291,0.7119468617496043,0.7012224296594887,"{'Camera': 0.8849557522123894, 'Light_T1': 0.2913907284768212, 'Light_XM': 0.681044267877412, 'Sensor': 0.648721399730821, 'Socket': 1.0}","[[300, 9, 32, 22, 0], [4, 88, 159, 114, 0], [4, 55, 300, 4, 0], [7, 87, 27, 241, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_Position,,0.9537395585182563,0.25251712885876765
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_v2,94,0.5572687224669604,0.6027102279946519,0.5577768617975576,0.5518887934980163,"{'Camera': 0.7795163584637269, 'Light_T1': 0.027164685908319185, 'Light_XM': 0.46720575022461813, 'Sensor': 0.5481481481481482, 'Socket': 0.9374090247452693}","[[274, 4, 73, 12, 0], [3, 8, 353, 1, 0], [12, 74, 260, 17, 0], [15, 133, 64, 148, 2], [36, 5, 0, 0, 322]]",preserved_baseline,OOD_Position,260049.0,0.7800627437792659,0.22817395028124954
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_v3,94,0.3992290748898678,0.4892131480236371,0.3995921288805019,0.4346823206107409,"{'Camera': 0.7445742904841403, 'Light_T1': 0.0021482277121374865, 'Light_XM': 0.10880829015544041, 'Sensor': 0.31788079470198677, 'Socket': 1.0}","[[223, 0, 108, 32, 0], [3, 1, 249, 112, 0], [3, 316, 42, 2, 0], [7, 249, 10, 96, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_Position,1012154.0,0.9310126140102173,0.4963302933994764
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,transformer,94,0.5633259911894273,0.5721053448090538,0.5639104488254431,0.5643137260240312,"{'Camera': 0.8417910447761194, 'Light_T1': 0.014970059880239521, 'Light_XM': 0.42117376294591485, 'Sensor': 0.5436337625178826, 'Socket': 1.0}","[[282, 0, 68, 13, 0], [13, 5, 228, 119, 0], [2, 163, 183, 15, 0], [10, 135, 27, 190, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_Position,73541.0,0.89929994532895,0.3349862193049188
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,transformer_v2,94,0.3959251101321586,0.5067783219948201,0.3962908847389008,0.4360825506223872,"{'Camera': 0.718213058419244, 'Light_T1': 0.0, 'Light_XM': 0.12004801920768307, 'Sensor': 0.3421516754850088, 'Socket': 1.0}","[[209, 0, 126, 28, 0], [3, 0, 285, 77, 0], [2, 308, 50, 3, 0], [5, 251, 9, 97, 0], [0, 0, 0, 0, 363]]",preserved_baseline,OOD_Position,605634.0,0.9291691865874535,0.4930866359650663
raw_all,position_R2_R3_R4_to_R5,fixed_split,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_v4,94,0.342511013215859,0.4956236852071052,0.3427864785474027,0.3824810537789297,"{'Camera': 0.5568627450980392, 'Light_T1': 0.0, 'Light_XM': 0.133051742344245, 'Sensor': 0.22664015904572565, 'Socket': 0.995850622406639}","[[142, 0, 194, 27, 0], [0, 0, 310, 55, 0], [0, 298, 63, 2, 0], [5, 286, 14, 57, 0], [0, 0, 3, 0, 360]]",strict_split_trained,OOD_Position,2206080.0,0.917711213128332,0.5352301593494023
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,rf,94,0.7832202964079377,0.7950123514088613,0.7825790949566782,0.7857564694967087,"{'Camera': 0.8844839371155161, 'Light_T1': 0.6517647058823529, 'Light_XM': 0.6684563758389261, 'Sensor': 0.7240773286467487, 'Socket': 1.0}","[[647, 26, 33, 91, 0], [13, 554, 111, 112, 0], [4, 205, 498, 82, 0], [2, 125, 59, 618, 0], [0, 0, 0, 0, 801]]",preserved_baseline,OOD_Jitter,,0.9537395585182563,0.16798308902154757
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_v2,94,0.650087917608641,0.6587457247797242,0.6495155331814227,0.6383280443234536,"{'Camera': 0.8512756689483509, 'Light_T1': 0.2777777777777778, 'Light_XM': 0.5389277389277389, 'Sensor': 0.5343173431734317, 'Socket': 0.9893416927899686}","[[684, 31, 31, 49, 2], [47, 175, 489, 79, 0], [40, 110, 578, 61, 0], [27, 154, 258, 362, 3], [12, 0, 0, 0, 789]]",preserved_baseline,OOD_Jitter,260049.0,0.7800627437792659,0.1417346994558123
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_v3,94,0.6498367244410952,0.7149605561409207,0.6496925766487549,0.6480796704039956,"{'Camera': 0.8784258608573436, 'Light_T1': 0.3836734693877551, 'Light_XM': 0.5166261151662611, 'Sensor': 0.46725949878738887, 'Socket': 0.994413407821229}","[[625, 5, 89, 69, 9], [1, 235, 509, 45, 0], [0, 122, 637, 30, 0], [0, 73, 442, 289, 0], [0, 0, 0, 0, 801]]",preserved_baseline,OOD_Jitter,1012154.0,0.9310126140102173,0.2829329436062217
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,transformer,94,0.6985681989449887,0.740688172597378,0.6967804700143988,0.6929923834243642,"{'Camera': 0.8372759856630825, 'Light_T1': 0.48575712143928035, 'Light_XM': 0.5030864197530864, 'Sensor': 0.6407185628742516, 'Socket': 0.99812382739212}","[[584, 24, 31, 158, 0], [9, 324, 133, 324, 0], [4, 157, 326, 302, 0], [1, 39, 15, 749, 0], [0, 0, 2, 1, 798]]",preserved_baseline,OOD_Jitter,73541.0,0.89929994532895,0.20630756190458577
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,transformer_v2,94,0.6669178598342125,0.7057607326481228,0.6668906184101995,0.6658815591515054,"{'Camera': 0.8853591160220995, 'Light_T1': 0.4520255863539446, 'Light_XM': 0.5481415136587551, 'Sensor': 0.44637223974763407, 'Socket': 0.9975093399750934}","[[641, 15, 31, 108, 2], [4, 318, 421, 46, 1], [1, 149, 612, 27, 0], [5, 135, 380, 283, 1], [0, 0, 0, 0, 801]]",preserved_baseline,OOD_Jitter,605634.0,0.9291691865874535,0.26328762743594814
