Model,Params,IID,OOD,OOD_Drop,CPD
RF,N/A,0.9537395585182563,0.7141611792016466,0.23957837931660975,0.5972959441112673
CNN-v2,260049,0.7800627437792659,0.5309771422674128,0.2490856015118531,0.723760537470507
CNN-v3,1012154,0.9310126140102173,0.5858679978829388,0.34514461612727854,0.8496870086494035
CNN-v4,2206080,0.917711213128332,0.5700036517339382,0.34770756139439385,0.8761890492272999
Transformer-v1,73541,0.89929994532895,0.6223443955849115,0.27695554974403847,0.7198599376775341
Transformer-v2,605634,0.9291691865874535,0.5942088150618421,0.3349603715256114,0.8236470599858622
