,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,332,2,0,1,0
Light_T1,0,307,7,13,0
Light_XM,2,22,300,7,0
Sensor,1,13,16,297,0
Socket,0,0,0,0,332
