,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,326,14,35,24,0
Light_T1,5,211,144,34,0
Light_XM,1,66,302,26,0
Sensor,6,46,88,265,0
Socket,0,0,0,0,395
