,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,355,0,33,10,0
Light_T1,2,0,392,2,0
Light_XM,0,0,394,0,0
Sensor,0,0,346,53,0
Socket,0,0,0,0,406
