,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,108,0,0,2,0
Light_T1,0,109,0,0,0
Light_XM,0,0,100,11,0
Sensor,0,0,9,100,0
Socket,0,0,0,0,113
