,precision,recall,f1-score,support
Camera,0.9504643962848297,0.8457300275482094,0.8950437317784257,363.0
Light_T1,0.3246951219512195,0.5835616438356165,0.41723800195886385,365.0
Light_XM,0.5698924731182796,0.7300275482093664,0.6400966183574879,363.0
Sensor,1.0,0.024861878453038673,0.04851752021563342,362.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.637114537444934,0.637114537444934,0.637114537444934,0.637114537444934
macro avg,0.7690103982708657,0.6368362196092463,0.6001791744620821,1816.0
weighted avg,0.7683938673488567,0.637114537444934,0.6002814758438223,1816.0
