,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,341,8,16,0,0
Light_T1,2,9,258,94,0
Light_XM,62,50,257,0,0
Sensor,43,166,150,5,0
Socket,27,2,0,0,347
