,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,642,32,30,93,0
Light_T1,6,516,154,114,0
Light_XM,3,223,474,89,0
Sensor,2,116,89,597,0
Socket,0,0,0,0,801
