,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,347,28,0,15,0
Light_T1,0,283,10,72,0
Light_XM,0,324,11,33,0
Sensor,1,45,1,315,0
Socket,0,0,0,0,368
