family,d_auc_sum,n_cols
down,1.7795805179237374,6
burst,0.09164065703400767,7
singletons,0.007919051373288098,6
up,-0.46250516466431396,7
subwin,-0.6729870149462187,9
interarrival,-1.8317453110701387,12
len,-2.3137133234912803,14
