seed,k_base,base,smooth,v3,n_gate,n_cand
42,3,0.841399053768019,0.9128050506830696,0.9738367408039614,2,43
43,5,0.8343951153287981,0.8979912566815939,0.9816370597538862,1,43
42,10,0.6074471751435779,0.6860641121964631,0.6813124818651421,12,203
43,10,0.5982957414901566,0.6992355318761474,0.7016333006019341,10,207
