seed,base,smooth,v6,n_gate
42,0.7980317250555075,0.9246492810690567,0.9251610969858961,3
43,0.7941289878511462,0.9385671616694554,0.9359206864986859,2
42,0.841399053768019,0.9128050506830696,0.9808329415671124,5
43,0.8343951153287981,0.8979912566815939,0.9910921796600137,4
