family,accept_family_ok,sum,G,L,W,ratio
down,False,1.779580517923733,2.382432142782794,-0.6028516248590604,-0.02545247950653362,3.9519378310372453
burst,False,0.09164065703400767,0.6757287449209518,-0.5840880878869441,-0.05302167031896765,1.1568952679133317
singletons,False,0.007919051373288105,0.36660302822666,-0.35868397685337194,-0.02352731109487871,1.022078073971298
up,False,-0.46250516466431396,0.3150887338659866,-0.7775938985303006,-0.040081162243324475,0.40520988457024076
subwin,False,-0.6729870149462187,0.8219606022178139,-1.4949476171640326,-0.22542001460920402,0.5498256880579546
interarrival,False,-1.8317453110701385,0.6177237822570888,-2.449469093327227,-0.46184562941319696,0.2521868040465888
len,False,-2.313713323491278,0.3080069509879616,-2.6217202744792396,-0.39460108757406054,0.11748276655835908
