feature,importance
rssi_min,2324
rssi_max,1785
rssi_p10,1585
rssi_std,1192
rssi_p90,1070
rssi_mean,946
rssi_p50,911
len_max,810
interarrival_max,758
down_len_std,756
len_p10,713
interarrival_std,690
down_len_mean,622
down_packet_ratio,585
down_ia_mean,571
burst_count,525
subwin_packet_cv,522
len_min,512
down_ia_std,507
subtype_8_ratio,498
len_cv,494
len_p25,468
interarrival_p75,467
interarrival_p50,452
interarrival_p90,414
len_p50,386
interarrival_mean,382
unique_da_count,380
len_mean,368
other_packet_ratio,363
len_std,360
retry_ratio,340
len_iqr,337
interarrival_iqr,331
interarrival_p95,327
len_range,315
len_p75,290
burst_size_mean,279
len_p90,274
down_len_p50,270
len_p95,267
packet_count,262
byte_count,239
interarrival_cv,237
interarrival_p25,234
up_packet_ratio,221
active_subwin_count,213
burst_size_std,212
long_gap_ratio,206
interarrival_min,197
interarrival_p10,197
burst_packet_ratio,189
len_up_down_diff,158
subwin_packet_std,157
subwin_byte_std,156
subwin_byte_max,123
subtype_4_ratio,122
subtype_0_ratio,113
unique_sa_count,107
burst_size_max,93
subwin_packet_max,86
burst_size_min,48
null_data_ratio,46
up_down_ratio,30
subwin_packet_min,23
subwin_byte_min,11
up_ia_std,9
subtype_5_ratio,7
up_len_mean,3
mgmt_ratio,2
ctrl_ratio,0
data_ratio,0
subtype_7_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
up_len_std,0
up_len_p50,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_ia_mean,0
subwin_packet_mean,0
subwin_byte_mean,0
