day,n_gate,k1,n1,k3,n3,k6,n6,k10,n10,k30,n30
16-10-11,10,0.7966454633669928,49455,0.9446205393307109,49455,0.9905375898025828,49455,0.9992975294022424,49455,0.9997977272939673,49455
16-10-12,10,0.8026765277555203,29680,0.9455310121450531,29680,0.9908479919149162,29680,0.9994902355767156,29680,0.9998965396610677,29680
