k,evid_nominal,macro,n_err,n_dec,span_med,span_p90
1,10,0.7989022569068172,11500,79135,10.0,10.0
3,30,0.9449252033818503,2825,79135,32.9999840259552,74.39953880310058
6,60,0.9906390039462094,484,79135,70.06124305725098,170.46875896453858
10,100,0.9993690119074428,33,79135,125.48203682899475,285.89252462387117
30,300,0.9998346532682081,8,79135,397.03186082839966,936.8325062274934
