,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,92,6,6,10,3
Light_T1,18,53,13,26,0
Light_XM,52,20,23,15,0
Sensor,8,16,19,60,6
Socket,2,0,0,0,108
