,precision,recall,f1-score,support
Camera,0.7902869757174393,0.9808219178082191,0.8753056234718827,365.0
Light_T1,0.049019607843137254,0.027548209366391185,0.03527336860670194,363.0
Light_XM,0.4066390041493776,0.7967479674796748,0.5384615384615384,369.0
Sensor,0.08974358974358974,0.019230769230769232,0.03167420814479638,364.0
Socket,0.9920844327176781,1.0,0.9960264900662251,376.0
accuracy,0.5688622754491018,0.5688622754491018,0.5688622754491018,0.5688622754491018
macro avg,0.4655547220342444,0.5648697727770109,0.49534824575022884,1837.0
weighted avg,0.4692373814281754,0.5688622754491018,0.4991935030448471,1837.0
