,precision,recall,f1-score,support
Camera,0.9831932773109243,0.975,0.9790794979079498,120.0
Light_T1,0.7652173913043478,0.7457627118644068,0.7553648068669528,118.0
Light_XM,0.7631578947368421,0.7310924369747899,0.7467811158798283,119.0
Sensor,0.8560606060606061,0.9262295081967213,0.889763779527559,122.0
Socket,1.0,0.9915254237288136,0.9957446808510638,118.0
accuracy,0.8743718592964824,0.8743718592964824,0.8743718592964824,0.8743718592964824
macro avg,0.873525833882544,0.8739220161529463,0.8733467762066708,597.0
weighted avg,0.8735913381311594,0.8743718592964824,0.8735989835707566,597.0
