unit,unit_type,config,model,seed,macro_f1,n_cols
loro_to_R4,loro,full94,xgboost,42,0.6618770405744276,94
loro_to_R4,loro,full94,lightgbm,42,0.6661799166983895,94
loro_to_R4,loro,full94,stacking,42,0.4406293692733776,94
loro_to_R4,loro,full94,rf::Camera,42,0.9228650137741047,94
loro_to_R4,loro,full94,rf::Light_T1,42,0.5403899721448467,94
loro_to_R4,loro,full94,rf::Light_XM,42,0.046632124352331605,94
loro_to_R4,loro,full94,rf::Sensor,42,0.7861715749039693,94
loro_to_R4,loro,full94,rf::Socket,42,1.0,94
loro_to_R4,loro,full94,xgboost::Camera,42,0.9394347240915208,94
loro_to_R4,loro,full94,xgboost::Light_T1,42,0.5262116716122651,94
loro_to_R4,loro,full94,xgboost::Light_XM,42,0.04568527918781726,94
loro_to_R4,loro,full94,xgboost::Sensor,42,0.7980535279805353,94
loro_to_R4,loro,full94,xgboost::Socket,42,1.0,94
loro_to_R4,loro,full94,lightgbm::Camera,42,0.9378378378378378,94
loro_to_R4,loro,full94,lightgbm::Light_T1,42,0.5449160908193484,94
loro_to_R4,loro,full94,lightgbm::Light_XM,42,0.055,94
loro_to_R4,loro,full94,lightgbm::Sensor,42,0.7931456548347613,94
loro_to_R4,loro,full94,lightgbm::Socket,42,1.0,94
loro_to_R4,loro,full94,stacking::Camera,42,0.9320652173913043,94
loro_to_R4,loro,full94,stacking::Light_T1,42,0.17454545454545456,94
loro_to_R4,loro,full94,stacking::Light_XM,42,0.045,94
loro_to_R4,loro,full94,stacking::Sensor,42,0.05153617443012884,94
loro_to_R4,loro,full94,stacking::Socket,42,1.0,94
loro_to_R3,loro,full94,rf,42,0.6148161314237031,94
loro_to_R3,loro,full94,xgboost,42,0.5331577734068969,94
loro_to_R3,loro,full94,lightgbm,42,0.552736123006713,94
loro_to_R3,loro,full94,stacking,42,0.4907165901894059,94
loro_to_R3,loro,full94,rf::Camera,42,0.9679144385026738,94
loro_to_R3,loro,full94,rf::Light_T1,42,0.22564102564102564,94
loro_to_R3,loro,full94,rf::Light_XM,42,0.6242774566473989,94
loro_to_R3,loro,full94,rf::Sensor,42,0.25757575757575757,94
loro_to_R3,loro,full94,rf::Socket,42,0.99867197875166,94
loro_to_R3,loro,full94,xgboost::Camera,42,0.9307692307692308,94
loro_to_R3,loro,full94,xgboost::Light_T1,42,0.11305518169582772,94
loro_to_R3,loro,full94,xgboost::Light_XM,42,0.5974304068522484,94
loro_to_R3,loro,full94,xgboost::Sensor,42,0.02586206896551724,94
loro_to_R3,loro,full94,xgboost::Socket,42,0.99867197875166,94
loro_to_R3,loro,full94,lightgbm::Camera,42,0.9391979301423027,94
loro_to_R3,loro,full94,lightgbm::Light_T1,42,0.14225941422594143,94
loro_to_R3,loro,full94,lightgbm::Light_XM,42,0.6081632653061224,94
loro_to_R3,loro,full94,lightgbm::Sensor,42,0.07538802660753881,94
loro_to_R3,loro,full94,lightgbm::Socket,42,0.99867197875166,94
loro_to_R3,loro,full94,stacking::Camera,42,0.9147869674185464,94
loro_to_R3,loro,full94,stacking::Light_T1,42,0.23622047244094488,94
loro_to_R3,loro,full94,stacking::Light_XM,42,0.2649930264993027,94
loro_to_R3,loro,full94,stacking::Sensor,42,0.038910505836575876,94
loro_to_R3,loro,full94,stacking::Socket,42,0.99867197875166,94
