unit,unit_type,best_base_full94_mean,best_base_drop_rssi_mean,delta_mean,delta_sd,delta_min_seed,delta_max_seed,n_seeds_negative,gap_full94_mean,gap_drop_rssi_mean,delta_gap_mean,dim25_reference
jit_R6,main,0.778674728413977,0.7434294873428366,-0.035245241071140375,0.0017130083074305,-0.037816382617979816,-0.033528325358209043,5,-0.08057533502614977,0.0038907368971781153,0.08446607192332789,
jit_R6_R7,main,0.7979348839866,0.7910301232678153,-0.00690476071878463,0.00233967105705936,-0.01052980383335611,-0.0042456911202052305,5,-0.0807745545858011,-0.001963185507535092,0.078811369078266,-0.024
jit_R7,main,0.8234670391862856,0.8359405371154012,0.012473497929115429,0.001563698533024569,0.009943360008266566,0.014085116628614336,0,-0.08783049388737971,-0.007803769924592707,0.08002672396278701,
joint_tb,ceiling,0.9083829563779927,0.8694361668229084,-0.03894678955508435,0.001148025972967115,-0.040634789484811584,-0.03794980906732903,5,-0.03468178227185674,-0.008103029398711237,0.026578752873145504,-0.0667
loro_to_R2,loro,0.8192242212888716,0.7707258528231529,-0.0484983684657188,0.005377991874315933,-0.052835051650858667,-0.04024260116562717,5,-0.180712520137705,0.006409427400989776,0.18712194753869477,
loro_to_R3,loro,0.6114038012485007,0.8471218503184345,0.23571804906993377,0.00819605404843133,0.2238397007176457,0.24533309799092484,0,-0.10573846748445755,-0.011729055668081334,0.0940094118163762,
loro_to_R4,loro,0.6674609662154285,0.7649151536195954,0.09745418740416693,0.0023444236181362327,0.0950033690405242,0.10051547010962014,0,-0.2225110638314521,-0.007583736169632238,0.21492732766181993,
pos_R5,main,0.69598800842628,0.7335836445379682,0.03759563611168833,0.004036428271287896,0.03219627681992199,0.04280228033741729,0,0.02435088671494039,-0.01251512290957224,-0.03686600962451263,-0.0214
