,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,303,2,28,30,0
Light_T1,5,37,219,104,0
Light_XM,5,91,258,9,0
Sensor,8,104,22,228,0
Socket,0,0,0,0,363
