,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,333,1,0,1,0
Light_T1,0,306,9,12,0
Light_XM,2,21,302,6,0
Sensor,2,12,13,300,0
Socket,0,0,0,0,332
