,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,668,9,26,89,5
Light_T1,2,248,476,64,0
Light_XM,1,117,631,39,1
Sensor,0,88,400,316,0
Socket,0,0,0,0,801
