,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,345,15,26,13,0
Light_T1,9,228,129,28,0
Light_XM,4,76,290,25,0
Sensor,10,49,92,254,0
Socket,0,0,0,0,395
