,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,683,31,38,41,4
Light_T1,3,480,277,30,0
Light_XM,1,291,478,19,0
Sensor,2,266,354,182,0
Socket,0,0,0,0,801
