filter_mode,task,task_type,scenario,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,parameter_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,source,iid_mean_macro_f1,ood_drop
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_v3,94,1012154,0.9226618705035972,0.922960007599506,0.921584653878232,0.9215963952529826,"{'Camera': 0.9831932773109243, 'Light_T1': 0.8672566371681416, 'Light_XM': 0.8899521531100478, 'Sensor': 0.867579908675799, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [1, 98, 3, 8, 0], [1, 9, 93, 7, 0], [2, 9, 3, 95, 0], [0, 0, 0, 0, 110]]",preserved_baseline,0.9310126140102172,0.0
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_v5,94,1225296,0.908273381294964,0.9149073232478127,0.9068056713928273,0.9066648405666914,"{'Camera': 0.9915254237288136, 'Light_T1': 0.8421052631578947, 'Light_XM': 0.8773584905660378, 'Sensor': 0.8223350253807107, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [0, 104, 3, 3, 0], [1, 12, 93, 4, 0], [1, 21, 6, 81, 0], [0, 0, 0, 0, 110]]",preserved_baseline,0.9199211188133631,0.0
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_inception,94,763092,0.8974820143884892,0.9029535849233638,0.8960133444537114,0.8952697773165976,"{'Camera': 0.9915254237288136, 'Light_T1': 0.8512396694214877, 'Light_XM': 0.8307692307692308, 'Sensor': 0.8073394495412844, 'Socket': 0.995475113122172}","[[117, 0, 0, 0, 0], [0, 103, 1, 6, 0], [0, 14, 81, 15, 0], [2, 15, 3, 88, 1], [0, 0, 0, 0, 110]]",strict_split_trained,0.9114532519478077,0.0
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_tcn,94,814854,0.9298561151079137,0.9304564725655219,0.9287572977481234,0.9285104142035958,"{'Camera': 0.9831932773109243, 'Light_T1': 0.8869565217391304, 'Light_XM': 0.9041095890410958, 'Sensor': 0.8682926829268293, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [1, 102, 3, 4, 0], [1, 7, 99, 3, 0], [2, 11, 7, 89, 0], [0, 0, 0, 0, 110]]",strict_split_trained,0.9295261510087013,0.0
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_convnext,94,1079570,0.9280575539568345,0.9289618877854171,0.9270558798999167,0.9271670841916553,"{'Camera': 0.9915254237288136, 'Light_T1': 0.8695652173913043, 'Light_XM': 0.8899521531100478, 'Sensor': 0.8847926267281107, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [1, 100, 2, 7, 0], [0, 12, 93, 5, 0], [1, 8, 4, 96, 0], [0, 0, 0, 0, 110]]",strict_split_trained,0.9201687169517787,0.0
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_v3,94,1012154,0.7204533189422558,0.7327638320357861,0.7184863170633361,0.6743508688941646,"{'Camera': 0.9574468085106383, 'Light_T1': 0.5610687022900763, 'Light_XM': 0.08478802992518704, 'Sensor': 0.7738562091503268, 'Socket': 0.9945945945945946}","[[360, 19, 0, 10, 1], [1, 294, 15, 53, 2], [0, 307, 17, 44, 0], [1, 63, 1, 296, 1], [0, 0, 0, 0, 368]]",preserved_baseline,0.9310126140102172,0.25666174511605255
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_v5,94,1225296,0.7112790070156503,0.6475707976235858,0.7090118210242083,0.6548808369634594,"{'Camera': 0.968421052631579, 'Light_T1': 0.54, 'Light_XM': 0.015463917525773196, 'Sensor': 0.7545787545787546, 'Socket': 0.9959404600811907}","[[368, 11, 0, 11, 0], [1, 270, 17, 77, 0], [0, 305, 3, 60, 0], [1, 49, 0, 309, 3], [0, 0, 0, 0, 368]]",preserved_baseline,0.9199211188133631,0.2650402818499037
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_inception,94,763092,0.7015650296815974,0.7138269792226899,0.7005257161602526,0.6518488890100446,"{'Camera': 0.9095966620305981, 'Light_T1': 0.5614366729678639, 'Light_XM': 0.046511627906976744, 'Sensor': 0.7444168734491315, 'Socket': 0.9972826086956522}","[[327, 31, 1, 31, 0], [1, 297, 8, 58, 1], [0, 304, 9, 55, 0], [1, 60, 1, 300, 0], [0, 1, 0, 0, 367]]",strict_split_trained,0.9114532519478077,0.2596043629377631
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_tcn,94,814854,0.7242309767943875,0.6753299851453632,0.7223383515322779,0.6712792244579662,"{'Camera': 0.9641434262948207, 'Light_T1': 0.5661835748792271, 'Light_XM': 0.03015075376884422, 'Sensor': 0.7959183673469388, 'Socket': 1.0}","[[363, 11, 0, 16, 0], [0, 293, 23, 49, 0], [0, 317, 6, 45, 0], [0, 49, 1, 312, 0], [0, 0, 0, 0, 368]]",strict_split_trained,0.9295261510087013,0.2582469265507351
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_convnext,94,1079570,0.7193739881273611,0.6575937791026896,0.7172538520937414,0.6649079069588353,"{'Camera': 0.9671484888304862, 'Light_T1': 0.5531062124248497, 'Light_XM': 0.025, 'Sensor': 0.7792848335388409, 'Socket': 1.0}","[[368, 8, 1, 13, 0], [2, 276, 20, 67, 0], [0, 310, 5, 53, 0], [1, 39, 6, 316, 0], [0, 0, 0, 0, 368]]",strict_split_trained,0.9201687169517787,0.2552608099929434
