,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,331,2,0,2,0
Light_T1,0,299,13,15,0
Light_XM,1,29,285,16,0
Sensor,0,14,22,291,0
Socket,0,0,0,0,332
