,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,282,0,68,13,0
Light_T1,13,5,228,119,0
Light_XM,2,163,183,15,0
Sensor,10,135,27,190,0
Socket,0,0,0,0,363
