,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,346,29,0,15,0
Light_T1,0,273,12,80,0
Light_XM,0,337,4,27,0
Sensor,2,11,0,349,0
Socket,0,0,0,0,368
