,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,110,0,0,0,0
Light_T1,0,109,0,0,0
Light_XM,1,0,76,34,0
Sensor,1,1,18,89,0
Socket,0,0,0,0,113
