,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,702,21,46,28,0
Light_T1,6,440,294,50,0
Light_XM,2,96,642,49,0
Sensor,9,80,214,501,0
Socket,0,0,0,0,801
