,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,361,13,4,20,0
Light_T1,3,288,57,48,0
Light_XM,0,84,272,38,0
Sensor,0,57,33,309,0
Socket,0,0,0,0,406
