,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,328,0,3,31,0
Light_T1,1,158,103,101,0
Light_XM,2,21,294,48,0
Sensor,0,71,21,271,0
Socket,0,0,0,0,363
