filter_mode,task,task_type,scenario,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,parameter_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,source
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_v3,94,1012154,0.9226618705035972,0.922960007599506,0.921584653878232,0.9215963952529826,"{'Camera': 0.9831932773109243, 'Light_T1': 0.8672566371681416, 'Light_XM': 0.8899521531100478, 'Sensor': 0.867579908675799, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [1, 98, 3, 8, 0], [1, 9, 93, 7, 0], [2, 9, 3, 95, 0], [0, 0, 0, 0, 110]]",preserved_baseline
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_v5,94,1225296,0.908273381294964,0.9149073232478127,0.9068056713928273,0.9066648405666914,"{'Camera': 0.9915254237288136, 'Light_T1': 0.8421052631578947, 'Light_XM': 0.8773584905660378, 'Sensor': 0.8223350253807107, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [0, 104, 3, 3, 0], [1, 12, 93, 4, 0], [1, 21, 6, 81, 0], [0, 0, 0, 0, 110]]",preserved_baseline
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_inception,94,763092,0.9118705035971223,0.9113120052560746,0.9105587989991658,0.9104081908888574,"{'Camera': 0.9790794979079498, 'Light_T1': 0.8458149779735683, 'Light_XM': 0.8930232558139535, 'Sensor': 0.8341232227488151, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [2, 96, 4, 8, 0], [0, 8, 96, 6, 0], [3, 13, 5, 88, 0], [0, 0, 0, 0, 110]]",strict_split_trained
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_tcn,94,814854,0.9226618705035972,0.9230807626217168,0.9215179316096748,0.9214512002341987,"{'Camera': 0.9873417721518988, 'Light_T1': 0.8744588744588745, 'Light_XM': 0.8909952606635071, 'Sensor': 0.8544600938967136, 'Socket': 1.0}","[[117, 0, 0, 0, 0], [1, 101, 3, 5, 0], [1, 7, 94, 8, 0], [1, 13, 4, 91, 0], [0, 0, 0, 0, 110]]",strict_split_trained
raw_all,single_round_R4,single_round,IID,['R4'],['R4'],1297,556,all_features,cnn1d_convnext,94,1079570,0.9064748201438849,0.913829445064591,0.9050375312760635,0.9056930029921622,"{'Camera': 0.9957446808510638, 'Light_T1': 0.8259109311740891, 'Light_XM': 0.8878048780487805, 'Sensor': 0.8235294117647058, 'Socket': 0.995475113122172}","[[117, 0, 0, 0, 0], [1, 102, 2, 5, 0], [0, 13, 91, 6, 0], [0, 22, 2, 84, 1], [0, 0, 0, 0, 110]]",strict_split_trained
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_v3,94,1012154,0.7204533189422558,0.7327638320357861,0.7184863170633361,0.6743508688941646,"{'Camera': 0.9574468085106383, 'Light_T1': 0.5610687022900763, 'Light_XM': 0.08478802992518704, 'Sensor': 0.7738562091503268, 'Socket': 0.9945945945945946}","[[360, 19, 0, 10, 1], [1, 294, 15, 53, 2], [0, 307, 17, 44, 0], [1, 63, 1, 296, 1], [0, 0, 0, 0, 368]]",preserved_baseline
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_v5,94,1225296,0.7112790070156503,0.6475707976235858,0.7090118210242083,0.6548808369634594,"{'Camera': 0.968421052631579, 'Light_T1': 0.54, 'Light_XM': 0.015463917525773196, 'Sensor': 0.7545787545787546, 'Socket': 0.9959404600811907}","[[368, 11, 0, 11, 0], [1, 270, 17, 77, 0], [0, 305, 3, 60, 0], [1, 49, 0, 309, 3], [0, 0, 0, 0, 368]]",preserved_baseline
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_inception,94,763092,0.6913113869400972,0.6772068182147233,0.6903683608277075,0.6440359733027361,"{'Camera': 0.8960674157303371, 'Light_T1': 0.5426214482126489, 'Light_XM': 0.030848329048843187, 'Sensor': 0.7506426735218509, 'Socket': 1.0}","[[319, 44, 0, 27, 0], [2, 296, 12, 55, 0], [0, 320, 6, 42, 0], [1, 66, 3, 292, 0], [0, 0, 0, 0, 368]]",strict_split_trained
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_tcn,94,814854,0.7177549919050189,0.6685297821431874,0.7152733239813733,0.6643865681226997,"{'Camera': 0.9715025906735751, 'Light_T1': 0.548418024928092, 'Light_XM': 0.02544529262086514, 'Sensor': 0.7779237844940867, 'Socket': 0.9986431478968792}","[[375, 5, 0, 10, 0], [4, 286, 20, 54, 1], [1, 323, 5, 39, 0], [2, 64, 0, 296, 0], [0, 0, 0, 0, 368]]",strict_split_trained
raw_all,loro_R2_R3_to_R4,fixed_split,OOD_LORO,"['R2', 'R3']",['R4'],3653,1853,all_features,cnn1d_convnext,94,1079570,0.6972477064220184,0.6286519035220438,0.6960229109097565,0.641958809942423,"{'Camera': 0.9213793103448276, 'Light_T1': 0.5296442687747036, 'Light_XM': 0.005249343832020997, 'Sensor': 0.7535211267605634, 'Socket': 1.0}","[[334, 37, 0, 19, 0], [1, 268, 12, 84, 0], [0, 301, 1, 66, 0], [0, 41, 0, 321, 0], [0, 0, 0, 0, 368]]",strict_split_trained
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_v3,94,1012154,0.5677735438214481,0.46059924398903684,0.5638080375737455,0.4948910187629904,"{'Camera': 0.8676470588235294, 'Light_T1': 0.04371584699453552, 'Light_XM': 0.5541284403669725, 'Sensor': 0.016985138004246284, 'Socket': 0.9919786096256684}","[[354, 1, 10, 0, 0], [1, 12, 247, 103, 0], [38, 29, 302, 0, 0], [53, 144, 162, 4, 1], [5, 0, 0, 0, 371]]",preserved_baseline
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_v5,94,1225296,0.5362003266194882,0.4405445368803119,0.5326114527194383,0.474508184541561,"{'Camera': 0.8104426787741204, 'Light_T1': 0.09076175040518639, 'Light_XM': 0.4887063655030801, 'Sensor': 0.004310344827586207, 'Socket': 0.978319783197832}","[[357, 4, 4, 0, 0], [1, 28, 235, 99, 0], [61, 70, 238, 0, 0], [84, 150, 128, 1, 1], [13, 2, 0, 0, 361]]",preserved_baseline
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_inception,94,763092,0.5487207403375068,0.4672725238048871,0.5446952821872703,0.493187374393582,"{'Camera': 0.8988173455978975, 'Light_T1': 0.01791044776119403, 'Light_XM': 0.5423406279733587, 'Sensor': 0.013544018058690745, 'Socket': 0.9933244325767691}","[[342, 17, 5, 1, 0], [1, 6, 281, 75, 0], [24, 60, 285, 0, 0], [26, 223, 111, 3, 1], [3, 1, 0, 0, 372]]",strict_split_trained
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_tcn,94,814854,0.5688622754491018,0.4655547220342444,0.5648697727770109,0.49534824575022884,"{'Camera': 0.8753056234718827, 'Light_T1': 0.03527336860670194, 'Light_XM': 0.5384615384615384, 'Sensor': 0.03167420814479638, 'Socket': 0.9960264900662251}","[[358, 0, 7, 0, 0], [2, 10, 278, 71, 2], [41, 34, 294, 0, 0], [52, 160, 144, 7, 1], [0, 0, 0, 0, 376]]",strict_split_trained
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_convnext,94,1079570,0.5220468154599891,0.4368167712914076,0.5184251065407322,0.4626033055891609,"{'Camera': 0.8119047619047619, 'Light_T1': 0.030100334448160536, 'Light_XM': 0.4895238095238095, 'Sensor': 0.02159827213822894, 'Socket': 0.9598893499308437}","[[341, 8, 16, 0, 0], [2, 9, 258, 94, 0], [62, 50, 257, 0, 0], [43, 166, 150, 5, 0], [27, 2, 0, 0, 347]]",strict_split_trained
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_v3,94,1012154,0.6745594713656388,0.7163493304905196,0.6745593527036046,0.6773361107428025,"{'Camera': 0.7202797202797203, 'Light_T1': 0.48297213622291024, 'Light_XM': 0.5880829015544041, 'Sensor': 0.5967213114754099, 'Socket': 0.9986244841815681}","[[206, 0, 75, 80, 1], [2, 156, 79, 126, 0], [2, 63, 227, 73, 0], [0, 64, 26, 273, 0], [0, 0, 0, 0, 363]]",preserved_baseline
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_v5,94,1225296,0.7224669603524229,0.7374293009324638,0.7226333110871066,0.7191467333591592,"{'Camera': 0.8974739970282318, 'Light_T1': 0.44594594594594594, 'Light_XM': 0.6222826086956522, 'Sensor': 0.6341463414634146, 'Socket': 0.9958847736625515}","[[302, 0, 19, 38, 3], [4, 132, 100, 127, 0], [4, 44, 229, 88, 0], [1, 53, 23, 286, 0], [0, 0, 0, 0, 363]]",preserved_baseline
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_inception,94,763092,0.6987885462555066,0.7248864418433507,0.699115204806019,0.7023693032864206,"{'Camera': 0.874806800618238, 'Light_T1': 0.5436893203883495, 'Light_XM': 0.5126582278481012, 'Sensor': 0.5888888888888889, 'Socket': 0.9918032786885246}","[[283, 0, 20, 53, 6], [0, 196, 60, 107, 0], [1, 90, 162, 112, 0], [1, 72, 25, 265, 0], [0, 0, 0, 0, 363]]",strict_split_trained
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_tcn,94,814854,0.7257709251101322,0.7425747543747814,0.7258844292883773,0.727581183388274,"{'Camera': 0.8571428571428571, 'Light_T1': 0.5084226646248086, 'Light_XM': 0.6046511627906976, 'Sensor': 0.6690647482014388, 'Socket': 0.9986244841815681}","[[276, 0, 29, 56, 1], [3, 166, 113, 81, 0], [2, 74, 234, 55, 0], [1, 50, 33, 279, 0], [0, 0, 0, 0, 363]]",strict_split_trained
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_convnext,94,1079570,0.6817180616740088,0.705241011844565,0.6818766808462906,0.6853842063375817,"{'Camera': 0.8526645768025078, 'Light_T1': 0.4430769230769231, 'Light_XM': 0.5757575757575758, 'Sensor': 0.5649717514124294, 'Socket': 0.990450204638472}","[[272, 0, 27, 56, 7], [1, 144, 93, 125, 0], [2, 63, 209, 91, 0], [1, 80, 32, 250, 0], [0, 0, 0, 0, 363]]",strict_split_trained
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_v3,94,1012154,0.39922907488986786,0.4892131480236371,0.3995921288805019,0.43468232061074097,"{'Camera': 0.7445742904841403, 'Light_T1': 0.0021482277121374865, 'Light_XM': 0.10880829015544041, 'Sensor': 0.31788079470198677, 'Socket': 1.0}","[[223, 0, 108, 32, 0], [3, 1, 249, 112, 0], [3, 316, 42, 2, 0], [7, 249, 10, 96, 0], [0, 0, 0, 0, 363]]",preserved_baseline
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_v5,94,1225296,0.40198237885462557,0.5160021288008314,0.4023332267932971,0.44119427483476803,"{'Camera': 0.7529021558872305, 'Light_T1': 0.0, 'Light_XM': 0.12925969447708577, 'Sensor': 0.3238095238095238, 'Socket': 1.0}","[[227, 0, 114, 22, 0], [5, 0, 306, 54, 0], [1, 305, 55, 2, 0], [7, 257, 13, 85, 0], [0, 0, 0, 0, 363]]",preserved_baseline
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_inception,94,763092,0.480726872246696,0.5401268408917433,0.4811074826340784,0.4999860354957925,"{'Camera': 0.8875739644970414, 'Light_T1': 0.006984866123399301, 'Light_XM': 0.2994011976047904, 'Sensor': 0.30597014925373134, 'Socket': 1.0}","[[300, 2, 49, 12, 0], [6, 3, 282, 74, 0], [1, 231, 125, 6, 0], [6, 258, 16, 82, 0], [0, 0, 0, 0, 363]]",strict_split_trained
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_tcn,94,814854,0.4289647577092511,0.5464761591847705,0.4293806979894373,0.46940493980632797,"{'Camera': 0.743801652892562, 'Light_T1': 0.0, 'Light_XM': 0.16837315130830488, 'Sensor': 0.43622920517560076, 'Socket': 0.9986206896551724}","[[225, 0, 123, 15, 0], [9, 0, 312, 44, 0], [1, 286, 74, 2, 0], [7, 231, 6, 118, 0], [0, 0, 1, 0, 362]]",strict_split_trained
raw_all,position_R2_R3_R4_to_R5,fixed_split,OOD_Position,"['R2', 'R3', 'R4']",['R5'],5506,1816,all_features,cnn1d_convnext,94,1079570,0.5110132158590308,0.5619302685716348,0.5114424499287892,0.5266000405068242,"{'Camera': 0.9224137931034483, 'Light_T1': 0.0048543689320388345, 'Light_XM': 0.33849821215733017, 'Sensor': 0.3686131386861314, 'Socket': 0.9986206896551724}","[[321, 0, 33, 9, 0], [7, 2, 287, 69, 0], [1, 213, 142, 7, 0], [4, 244, 13, 101, 0], [0, 0, 1, 0, 362]]",strict_split_trained
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_v3,94,1012154,0.6498367244410952,0.7149605561409207,0.6496925766487549,0.6480796704039956,"{'Camera': 0.8784258608573436, 'Light_T1': 0.3836734693877551, 'Light_XM': 0.5166261151662611, 'Sensor': 0.46725949878738887, 'Socket': 0.994413407821229}","[[625, 5, 89, 69, 9], [1, 235, 509, 45, 0], [0, 122, 637, 30, 0], [0, 73, 442, 289, 0], [0, 0, 0, 0, 801]]",preserved_baseline
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_v5,94,1225296,0.6510926902788244,0.712041412447108,0.6510088823713845,0.6486731926391436,"{'Camera': 0.8870292887029289, 'Light_T1': 0.39203187250996013, 'Light_XM': 0.5206375153248877, 'Sensor': 0.44553644553644556, 'Socket': 0.9981308411214953}","[[636, 11, 76, 71, 3], [1, 246, 497, 46, 0], [0, 124, 637, 28, 0], [0, 84, 448, 272, 0], [0, 0, 0, 0, 801]]",preserved_baseline
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_inception,94,763092,0.6576237126350163,0.7222931456005303,0.6576000533424177,0.6588843586806815,"{'Camera': 0.8864265927977839, 'Light_T1': 0.4489187173750932, 'Light_XM': 0.5108877721943048, 'Sensor': 0.44818871103622576, 'Socket': 1.0}","[[640, 14, 101, 42, 0], [5, 301, 439, 45, 0], [0, 149, 610, 30, 0], [2, 87, 449, 266, 0], [0, 0, 0, 0, 801]]",strict_split_trained
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_tcn,94,814854,0.6591308716402914,0.7043235904625091,0.6593513748458364,0.6531063723172084,"{'Camera': 0.9192462987886945, 'Light_T1': 0.5166846071044133, 'Light_XM': 0.493801652892562, 'Sensor': 0.3382899628252788, 'Socket': 0.9975093399750934}","[[683, 31, 38, 41, 4], [3, 480, 277, 30, 0], [1, 291, 478, 19, 0], [2, 266, 354, 182, 0], [0, 0, 0, 0, 801]]",strict_split_trained
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,OOD_Jitter,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,cnn1d_convnext,94,1079570,0.6154232604873148,0.6938550761117064,0.6153671406732479,0.6178532707534494,"{'Camera': 0.800601956358164, 'Light_T1': 0.37091988130563797, 'Light_XM': 0.49198717948717946, 'Sensor': 0.4270042194092827, 'Socket': 0.9987531172069826}","[[532, 31, 170, 62, 2], [0, 250, 498, 42, 0], [0, 151, 614, 24, 0], [0, 126, 425, 253, 0], [0, 0, 0, 0, 801]]",strict_split_trained
