source_env,R2,R3,R4,R5,R6,R7
R2,,0.5525575101442646,0.5879190029361334,0.5684245705839173,0.2831573371181265,0.2803625377643505
R3,0.5613424171653618,,0.4894340537802898,0.5550758079556756,0.27915407854984897,0.28091927346115037
R4,0.7592176932864219,0.5446164842506234,,0.6118622565305192,0.5280493069549366,0.6328293068857445
R5,0.5728903086491407,0.42085087813899785,0.4412457277079784,,0.40835593685457194,0.41438508040480937
R6,0.7145965539654341,0.7111009983885,0.7047265706649399,0.6481077483187286,,0.8352353485635643
R7,0.7257204170122592,0.6655966061537788,0.6817802253460143,0.676201326851697,0.7283019210840016,
