filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,n_sources,target_env,grid_kind,split_mode
raw_all,g0_R6_to_R2,fixed_split,['R6'],['R2'],1988,1816,all_features,rf,94,0.7296255506607929,0.8120014855828336,0.729941432169128,0.714596553965434,"{'Camera': 0.8250289687137891, 'Light_T1': 0.452431289640592, 'Light_XM': 0.697986577181208, 'Sensor': 0.5975359342915811, 'Socket': 1.0}","[[356, 0, 0, 6, 0], [56, 107, 16, 184, 0], [24, 3, 208, 130, 0], [65, 0, 7, 291, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R6_to_R2,fixed_split,['R6'],['R2'],1988,1816,all_features,xgboost,94,0.6123348017621145,0.7648090471502446,0.612903028343194,0.5648223412087962,"{'Camera': 0.5627980922098569, 'Light_T1': 0.15577889447236182, 'Light_XM': 0.42677824267782427, 'Sensor': 0.6787564766839378, 'Socket': 1.0}","[[354, 0, 0, 8, 0], [251, 31, 6, 75, 0], [195, 4, 102, 64, 0], [96, 0, 5, 262, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R6_to_R2,fixed_split,['R6'],['R2'],1988,1816,all_features,lightgbm,94,0.6701541850220264,0.7802591465284996,0.6705263724118433,0.6328523751429024,"{'Camera': 0.6341030195381883, 'Light_T1': 0.21897810218978103, 'Light_XM': 0.626970227670753, 'Sensor': 0.6842105263157895, 'Socket': 1.0}","[[357, 0, 0, 5, 0], [212, 45, 15, 91, 0], [118, 2, 179, 66, 0], [77, 1, 12, 273, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R6_to_R2,fixed_split,['R6'],['R2'],1988,1816,all_features,stacking,94,0.6723568281938326,0.7847027319370623,0.6727710229448876,0.6398995084605067,"{'Camera': 0.6349206349206349, 'Light_T1': 0.27294117647058824, 'Light_XM': 0.6039783001808319, 'Sensor': 0.6876574307304786, 'Socket': 1.0}","[[360, 0, 0, 2, 0], [207, 58, 13, 85, 0], [124, 3, 167, 71, 0], [81, 1, 8, 273, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R7_to_R2,fixed_split,['R7'],['R2'],1993,1816,all_features,rf,94,0.7241189427312775,0.830746010705106,0.7243563908072004,0.7257204170122593,"{'Camera': 0.6262975778546713, 'Light_T1': 0.5531914893617021, 'Light_XM': 0.7515923566878981, 'Sensor': 0.6975206611570248, 'Socket': 1.0}","[[362, 0, 0, 0, 0], [175, 143, 17, 28, 0], [119, 7, 236, 3, 0], [138, 4, 10, 211, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R7_to_R2,fixed_split,['R7'],['R2'],1993,1816,all_features,xgboost,94,0.44933920704845814,0.8473138263387646,0.45003811464583576,0.37303244028646726,"{'Camera': 0.4201973302379571, 'Light_T1': 0.01639344262295082, 'Light_XM': 0.16541353383458646, 'Sensor': 0.2631578947368421, 'Socket': 1.0}","[[362, 0, 0, 0, 0], [360, 3, 0, 0, 0], [332, 0, 33, 0, 0], [307, 0, 1, 55, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R7_to_R2,fixed_split,['R7'],['R2'],1993,1816,all_features,lightgbm,94,0.41354625550660795,0.7722712680577849,0.41430695497943315,0.3088497549999999,"{'Camera': 0.4053751399776036, 'Light_T1': 0.03234501347708895, 'Light_XM': 0.03225806451612903, 'Sensor': 0.07427055702917772, 'Socket': 1.0}","[[362, 0, 0, 0, 0], [357, 6, 0, 0, 0], [358, 1, 6, 0, 0], [347, 1, 1, 14, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R7_to_R2,fixed_split,['R7'],['R2'],1993,1816,all_features,stacking,94,0.44768722466960353,0.7443736398611362,0.4484003169930941,0.37258669269168,"{'Camera': 0.42764323685764916, 'Light_T1': 0.1451990632318501, 'Light_XM': 0.14213197969543148, 'Sensor': 0.14795918367346939, 'Socket': 1.0}","[[362, 0, 0, 0, 0], [332, 31, 0, 0, 0], [320, 17, 28, 0, 0], [317, 16, 1, 29, 0], [0, 0, 0, 0, 363]]",1,R2,ood,fixed
raw_all,g0_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,rf,94,0.8083700440528634,0.814255723120555,0.8084345974485851,0.8097991283932819,"{'Camera': 0.9464544138929089, 'Light_T1': 0.6501457725947521, 'Light_XM': 0.7657894736842106, 'Sensor': 0.6866059817945384, 'Socket': 1.0}","[[327, 0, 10, 25, 0], [1, 223, 79, 60, 0], [1, 16, 291, 57, 0], [0, 84, 15, 264, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,xgboost,94,0.7786343612334802,0.7844321532025695,0.778674996387855,0.7752091537055984,"{'Camera': 0.9466089466089466, 'Light_T1': 0.5154975530179445, 'Light_XM': 0.7480916030534351, 'Sensor': 0.6658476658476659, 'Socket': 1.0}","[[328, 0, 3, 31, 0], [1, 158, 103, 101, 0], [2, 21, 294, 48, 0], [0, 71, 21, 271, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
