fs,task,model,device,n_win,p,mode_pred,mode_share,plur_ok,vote30,shuf30,n_blocks
full94,g0_R2_to_R4,stacking,Camera,390,0.20512820512820512,Sensor,0.5512820512820513,0,0.23076923076923078,0.0038461538461538464,13
full94,g0_R2_to_R4,stacking,Light_T1,365,0.3041095890410959,Sensor,0.6356164383561644,0,0.08333333333333333,0.024999999999999998,12
full94,g0_R2_to_R4,stacking,Light_XM,368,0.035326086956521736,Sensor,0.9565217391304348,0,0.0,0.0,12
full94,g0_R2_to_R4,stacking,Sensor,362,0.9972375690607734,Sensor,0.9972375690607734,1,1.0,1.0,12
full94,g0_R2_to_R4,stacking,Socket,368,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R3_to_R2,rf,Camera,362,0.8535911602209945,Camera,0.8535911602209945,1,1.0,1.0,12
full94,g0_R3_to_R2,rf,Light_T1,363,0.17079889807162535,Sensor,0.5013774104683195,0,0.0,0.0,12
full94,g0_R3_to_R2,rf,Light_XM,365,0.7397260273972602,Light_XM,0.7397260273972602,1,1.0,1.0,12
full94,g0_R3_to_R2,rf,Sensor,363,0.02203856749311295,Light_T1,0.977961432506887,0,0.0,0.0,12
full94,g0_R3_to_R2,rf,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R3_to_R2,stacking,Camera,362,0.9447513812154696,Camera,0.9447513812154696,1,1.0,1.0,12
full94,g0_R3_to_R2,stacking,Light_T1,363,0.02203856749311295,Sensor,0.6942148760330579,0,0.0,0.0,12
full94,g0_R3_to_R2,stacking,Light_XM,365,0.7205479452054795,Light_XM,0.7205479452054795,1,1.0,0.9958333333333332,12
full94,g0_R3_to_R2,stacking,Sensor,363,0.03305785123966942,Light_T1,0.9669421487603306,0,0.0,0.0,12
full94,g0_R3_to_R2,stacking,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R3_to_R4,rf,Camera,390,0.8179487179487179,Camera,0.8179487179487179,1,0.9230769230769231,1.0,13
full94,g0_R3_to_R4,rf,Light_T1,365,0.8273972602739726,Light_T1,0.8273972602739726,1,1.0,1.0,12
full94,g0_R3_to_R4,rf,Light_XM,368,0.016304347826086956,Light_T1,0.9809782608695652,0,0.0,0.0,12
full94,g0_R3_to_R4,rf,Sensor,362,0.058011049723756904,Light_T1,0.9392265193370166,0,0.0,0.0,12
full94,g0_R3_to_R4,rf,Socket,368,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R3_to_R4,stacking,Camera,390,0.9025641025641026,Camera,0.9025641025641026,1,1.0,1.0,13
full94,g0_R3_to_R4,stacking,Light_T1,365,0.6876712328767123,Light_T1,0.6876712328767123,1,1.0,1.0,12
full94,g0_R3_to_R4,stacking,Light_XM,368,0.01358695652173913,Light_T1,0.9836956521739131,0,0.0,0.0,12
full94,g0_R3_to_R4,stacking,Sensor,362,0.0856353591160221,Light_T1,0.9060773480662984,0,0.0,0.0,12
full94,g0_R3_to_R4,stacking,Socket,368,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R4_to_R2,rf,Camera,362,0.6988950276243094,Camera,0.6988950276243094,1,0.9166666666666666,1.0,12
