task,model,temperature,w_inv_temperature,nll_uncalibrated,nll_calibrated,n_oof,optimizer_converged,bound_hit
g0_R2_R3_R4_to_R5,rf,0.9636871997474981,1.0376811067554041,0.724534652133258,0.7241578987467234,5506,True,False
g0_R2_R3_R4_to_R5,xgboost,2.5878611264698757,0.38641949901079464,1.3293332007309897,0.8483771116288101,5506,True,False
g0_R2_R3_R4_to_R5,lightgbm,4.8541647205340706,0.2060086662839857,2.3373330808975306,0.8422920132950283,5506,True,False
g0_R2_R3_R4_to_R6,rf,0.9636871997474981,1.0376811067554041,0.724534652133258,0.7241578987467234,5506,True,False
g0_R2_R3_R4_to_R6,xgboost,2.5878611264698757,0.38641949901079464,1.3293332007309897,0.8483771116288101,5506,True,False
g0_R2_R3_R4_to_R6,lightgbm,4.8541647205340706,0.2060086662839857,2.3373330808975306,0.8422920132950283,5506,True,False
g0_R2_R3_R4_to_R7,rf,0.9636871997474981,1.0376811067554041,0.724534652133258,0.7241578987467234,5506,True,False
g0_R2_R3_R4_to_R7,xgboost,2.5878611264698757,0.38641949901079464,1.3293332007309897,0.8483771116288101,5506,True,False
g0_R2_R3_R4_to_R7,lightgbm,4.8541647205340706,0.2060086662839857,2.3373330808975306,0.8422920132950283,5506,True,False
g0_R2_R3_R5_to_R4,rf,1.184272173221571,0.8444004871614131,0.8595722283052691,0.8508326201777728,5469,True,False
g0_R2_R3_R5_to_R4,xgboost,3.0275601970099513,0.33029896514943285,1.7659655775941787,1.0258510160754433,5469,True,False
g0_R2_R3_R5_to_R4,lightgbm,5.843304254223864,0.17113604845702576,3.29487941882967,1.0382301259381603,5469,True,False
g0_R2_R3_R5_to_R6,rf,1.184272173221571,0.8444004871614131,0.8595722283052691,0.8508326201777728,5469,True,False
g0_R2_R3_R5_to_R6,xgboost,3.0275601970099513,0.33029896514943285,1.7659655775941787,1.0258510160754433,5469,True,False
g0_R2_R3_R5_to_R6,lightgbm,5.843304254223864,0.17113604845702576,3.29487941882967,1.0382301259381603,5469,True,False
g0_R2_R3_R5_to_R7,rf,1.184272173221571,0.8444004871614131,0.8595722283052691,0.8508326201777728,5469,True,False
g0_R2_R3_R5_to_R7,xgboost,3.0275601970099513,0.33029896514943285,1.7659655775941787,1.0258510160754433,5469,True,False
g0_R2_R3_R5_to_R7,lightgbm,5.843304254223864,0.17113604845702576,3.29487941882967,1.0382301259381603,5469,True,False
g0_R2_R3_R6_to_R4,rf,1.0957923673132268,0.9125816439586085,0.8492915789043759,0.8469854853416428,5641,True,False
g0_R2_R3_R6_to_R4,xgboost,2.8096559389891294,0.3559154649945447,1.514330964252016,0.926746589962688,5641,True,False
