fs,kind,task,model,N,macro_f1,hard_mean,n_blocks
strict59,OOD,g0_R2_R3_to_R4,stacking,1,0.8024936713266004,0.7530738079190096,1853
strict59,OOD,g0_R2_R3_to_R4,stacking,6,0.9362777342998267,0.9231295571663779,308
strict59,OOD,g0_R2_R3_to_R4,stacking,30,0.984,0.9866666666666667,61
strict59,OOD,g0_R2_R4_to_R3,rf,1,0.8041317039101127,0.7772487248255239,1837
strict59,OOD,g0_R2_R4_to_R3,rf,6,0.9543182256444556,0.9504123819737975,308
strict59,OOD,g0_R2_R4_to_R3,rf,30,1.0,1.0,61
strict59,OOD,g0_R2_R4_to_R3,stacking,1,0.8320363079622524,0.8102587846121144,1837
strict59,OOD,g0_R2_R4_to_R3,stacking,6,0.9773601357410598,0.9731980223783502,308
strict59,OOD,g0_R2_R4_to_R3,stacking,30,1.0,1.0,61
strict59,OOD,g0_R3_R4_to_R2,rf,1,0.7871380596743727,0.7814910738659009,1816
strict59,OOD,g0_R3_R4_to_R2,rf,6,0.897545754938163,0.9264651471191607,304
strict59,OOD,g0_R3_R4_to_R2,rf,30,1.0,1.0,60
strict59,OOD,g0_R3_R4_to_R2,stacking,1,0.8445065430199878,0.8181254301729778,1816
strict59,OOD,g0_R3_R4_to_R2,stacking,6,0.9768261167566947,0.9753824635020544,304
strict59,OOD,g0_R3_R4_to_R2,stacking,30,1.0,1.0,60
strict59,OOD,g0_R2_to_R3,rf,1,0.7551057259879536,0.7312102660139786,1837
strict59,OOD,g0_R2_to_R3,rf,6,0.8998421085936391,0.9062496681688857,308
strict59,OOD,g0_R2_to_R3,rf,30,1.0,1.0,61
strict59,OOD,g0_R2_to_R3,stacking,1,0.7144459797623056,0.7293872219297732,1837
strict59,OOD,g0_R2_to_R3,stacking,6,0.8073199406017222,0.8736717624747318,308
strict59,OOD,g0_R2_to_R3,stacking,30,0.8254545454545454,0.9090909090909092,61
strict59,OOD,g0_R2_to_R4,rf,1,0.6991252444495102,0.6677858110417122,1853
strict59,OOD,g0_R2_to_R4,rf,6,0.8493804942108548,0.8787920517549335,308
strict59,OOD,g0_R2_to_R4,rf,30,0.8783157894736842,0.9199999999999999,61
strict59,OOD,g0_R2_to_R4,stacking,1,0.7422914714511764,0.7154912259445666,1853
strict59,OOD,g0_R2_to_R4,stacking,6,0.8713082868032653,0.8898909157158799,308
strict59,OOD,g0_R2_to_R4,stacking,30,0.9158095238095239,0.939047619047619,61
strict59,OOD,g0_R3_to_R2,rf,1,0.7426727853284748,0.7362701962352883,1816
strict59,OOD,g0_R3_to_R2,rf,6,0.8456075629310931,0.8971508162672691,304
strict59,OOD,g0_R3_to_R2,rf,30,0.9128856624319418,0.9425287356321839,60
strict59,OOD,g0_R3_to_R2,stacking,1,0.810422855541679,0.791219434318708,1816
strict59,OOD,g0_R3_to_R2,stacking,6,0.9266822912364022,0.9405100893543996,304
strict59,OOD,g0_R3_to_R2,stacking,30,1.0,1.0,60
strict59,OOD,g0_R3_to_R4,rf,1,0.661174724066959,0.6540467676063094,1853
