,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,342,31,0,17,0
Light_T1,0,278,14,73,0
Light_XM,0,316,10,42,0
Sensor,2,36,0,324,0
Socket,0,0,0,0,368
