,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,117,0,0,0,0
Light_T1,2,101,3,4,0
Light_XM,1,6,101,2,0
Sensor,1,9,3,96,0
Socket,0,0,0,0,110
