,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,362,1,2,0,0
Light_T1,2,24,259,78,0
Light_XM,18,32,319,0,0
Sensor,28,172,161,2,1
Socket,0,0,0,0,376
