,precision,recall,f1-score,support
Camera,0.9723756906077348,0.9723756906077348,0.9723756906077348,362.0
Light_T1,0.022653721682847898,0.01928374655647383,0.020833333333333332,363.0
Light_XM,0.6802575107296137,0.8684931506849315,0.762936221419976,365.0
Sensor,0.189873417721519,0.1652892561983471,0.17673048600883653,363.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.6051762114537445,0.6051762114537445,0.6051762114537445,0.6051762114537445
macro avg,0.5730320681483431,0.6050883688094975,0.5865751462739761,1816.0
weighted avg,0.5729302549670123,0.6051762114537445,0.5865569312992835,1816.0
