,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,367,9,0,22,0
Light_T1,4,266,71,55,0
Light_XM,1,109,235,49,0
Sensor,1,48,35,315,0
Socket,0,0,0,0,406
